protein_id	md5	length	has_internal_stop	in_uniparc	n_interpro	n_pfam	n_go	n_interpro_gos	interpro_gos
APU25_07535	08DD20DD8F0605D2460B66BB8499A0F9	363	no	yes	0	0	0		
APU25_07540	D3EC389AFC253811C92C93BA009494E6	556	no	yes	1	0	0		
APU25_07545	E2E61301BF7DC22F9ABE3F447351488D	254	no	yes	2	1	0		
APU25_07550	E9304B62998A9AB479B87B490E54DC82	626	no	yes	6	2	0	5	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359
APU25_07555	2DEF11218415057E70EDA41C736BFE3E	508	no	yes	8	2	0	4	GO:0004672,GO:0005515,GO:0005524,GO:0006468
APU25_07560	D029ADE2B0B54DDA6A729268EFC9E1A4	227	no	yes	4	1	0		
APU25_07565	F8BE0A62A93EE373BE1D3D2A06CB34E8	640	no	no					
APU25_07570	76D69AA62A6CEA88F96C7D8107A2D063	318	no	yes	3	0	0	1	GO:0005515
APU25_07575	E529E3727ADC44CB860B8CFB5B139966	416	no	yes	2	1	0	1	GO:0005975
APU25_07580	7F479BFD7D199DA3AA9F8F967E3CF5FB	356	no	yes	2	1	0		
APU25_07585	D7880625776F005C7EA6421D0BC4E4A6	622	no	yes	0	0	0		
APU25_07590	EABA7EDD9AFB5EB093D360140EF0257D	2105	no	yes	5	2	0		
APU25_07595	256CA82882DE63A46F92D58801E5536A	1090	no	no					
APU25_07600	30E6FC409FF5B4F871B444BD95B1E6F9	146	no	yes	0	0	0		
APU25_07605	5995617FBC1C2C2205A9D4FF1181601E	345	no	no					
APU25_07610	A3A005E989F05BDCF3BB63B3E880AA02	712	no	yes	0	0	0		
APU25_07615	185B3EAF5A03F40C32511B070E263467	317	no	yes	5	1	0	3	GO:0003723,GO:0006396,GO:0008173
APU25_07620	3AF92C09E633E5623E0C0B687F501010	743	no	no					
APU25_07625	BA730841F5646492359CE7C14C119E01	1670	no	no					
APU25_07630	35F087E3DC842873D725B42E573988C0	378	no	yes	4	1	0	3	GO:0004672,GO:0005524,GO:0006468
APU25_07635	8918B6CB3F6FCC9B589BD2B1A73676F1	603	no	no					
APU25_07640	933C553EE53C7B85AC10363BAE29F8A6	122	no	no					
APU25_07645	DD3A3F367E75D76C303C82002FA0FD23	355	no	yes	2	1	0		
APU25_07650	953F332D739D982F3AFF4BF7DD426310	645	no	no					
APU25_07655	10F6B5942AF2EF9CCA5456134C27168C	1360	yes	no					
APU25_07660	4B133A081C2AEBF2756339EEED1A1B43	587	no	no					
APU25_07665	BD1C0B42849FEB7F4B5FA78C6D18CA00	283	no	yes	0	0	0		
APU25_07670	C8274B114BBFBFAD9E8D77FF738111A8	1370	no	yes	7	2	0	5	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359
APU25_07675	4C9E8D1376AF4469EFA77C9EE93CD0AA	411	no	yes	3	1	0	3	GO:0005096,GO:0016192,GO:0043547
APU25_07680	BA4E2A1BE8846B187393CA1A91E477EE	158	no	no					
APU25_07685	CF4C920B1D0344A14CBB4E7E2B3D8ADC	524	no	yes	0	0	0		
APU25_07690	D2D73BDEB9F33EC16C427FC57626C877	974	no	yes	5	2	0	1	GO:0004386
APU25_07695	B9BA67E545851BA18BD252D948AD901B	139	no	no					
APU25_07700	51457C67D495AF76D7F05DA8BA28EEF6	408	no	yes	1	1	0		
APU25_07705	D10882F8E11DADFF4608E67995951F9D	602	no	yes	7	2	0		
APU25_07710	485DE88F36A68B005C6C82E786C7F271	248	no	yes	1	1	0		
APU25_07715	9C6EA523B7D86F7E7A8E993B2BCE3718	392	no	no					
APU25_07720	3CCDFAD1703E6112A93284BFE1257DBD	234	no	yes	1	1	0	2	GO:0005778,GO:0016559
APU25_07725	20C89E52908A903E1C8ECA8D9359F214	225	no	yes	3	1	0	1	GO:0005515
APU25_07730	4684472968CBFB4ACD962F7581C673BB	510	no	yes	2	0	0	3	GO:0005337,GO:0016020,GO:1901642
APU25_07735	5ADF91032BB0F09FF741CAEC242049AB	282	no	no					
APU25_07740	BD6C83D2A116B4CC009F70DBDC46A507	370	no	yes	2	1	0		
APU25_07745	9958221D090124F928343A86493627A9	242	no	yes	4	1	0	2	GO:0005524,GO:0016887
APU25_07750	327991F22B8CDB2497F352BCF61816AD	371	no	yes	1	1	0		
APU25_07755	3F2AB22FD52CB5E493E7F2652B23640B	1063	no	no					
APU25_07760	DD76782C8D79126CCE9997BB81579F6C	428	no	yes	0	0	0		
APU25_07765	668201D102506DAEE5A6CC1A02E8212B	493	no	yes	0	0	0		
APU25_07770	AA449EFDBF6634B767D7735890DF2561	233	no	no					
APU25_07775	60948B9FBF32B491CA674E3741E26820	1015	no	no					
APU25_07780	7438D829948BBECCFBCF9B488A6D9DB9	607	no	yes	7	2	0	3	GO:0003824,GO:0004160,GO:0009082
APU25_07785	524FF8D3DF0ED855BB0DA8E86FD95513	643	no	no					
APU25_07790	36A20C98C3C9852C37BC4A04769F0C0B	223	no	no					
APU25_07795	936FF5AF334B17ABB6DD3B81D40DD212	476	no	no					
APU25_07800	E32DE77BE344B8291C4B4756E78EB8C8	838	no	no					
APU25_07805	7D52A419FF6B18C16C889CE30926C484	906	no	no					
APU25_07810	B04322980FB555070A74AF474DB3E1BF	568	no	no					
APU25_07815	2A7380232913D1EEA140337CE74B0F62	463	no	yes	6	2	0	4	GO:0004149,GO:0006099,GO:0016746,GO:0045252
APU25_07820	F41B0A96CDC22A0580C5340BCC9EC172	722	no	yes	10	3	0	3	GO:0005524,GO:0016887,GO:0035494
APU25_07825	8D36F3E6B0F4199A51527303D4530CF1	495	no	yes	5	2	0	2	GO:0003676,GO:0005524
APU25_07830	3F5202BB9946E897D28B01050F3BA26B	595	no	no					
APU25_07835	9C9E5283ADE48E88BD81D64A0926C977	227	no	no					
APU25_07840	806760A86B4C2BC40422E58A6B08BB6F	834	no	no					
APU25_07845	F1890548FF814EBECCE7FD7D83801ACF	870	no	yes	3	1	0		
APU25_07850	EB23A38E0CAE5663753878F3CB9B708D	122	no	yes	1	1	0		
APU25_07855	DABF1779B7DEC9B8C74C37D1481B6758	540	no	yes	4	1	0	1	GO:0016810
APU25_07860	A98D7F2B2A6E58F889C5B89B969FDF4E	164	no	no					
APU25_07865	19BAA50BD45A4134613B1EFD4F798243	414	no	no					
APU25_07870	FAA0BB7BADF2C3FE1E938335DF7AE08C	1536	no	no					
APU25_07875	F62A4B3976D6F41351B955E9C8D90BAF	2017	no	no					
APU25_07880	1FA66E7A9A8E700753FD30DC793E8BBE	411	no	no					
APU25_07885	26D60BBFBCF95761EC58BEF61C591EBA	376	no	yes	0	0	0		
APU25_07890	80B9EFCC8CFFF980EEEB20EDE3F53396	915	no	no					
APU25_07895	493B0F92249366BD4EB49299948E9C28	555	no	yes	7	3	0	3	GO:0003993,GO:0016787,GO:0046872
APU25_07900	F0B8B7F90D48BF1A0521F35C128D8637	551	no	yes	7	3	0	3	GO:0003993,GO:0016787,GO:0046872
APU25_07905	5292339434BA6DA432E7F7E62452D9E8	552	no	no					
APU25_07910	79A74DAEEA8296FB4A10C7BCEED53636	238	no	yes	3	1	0		
APU25_07915	EA74A9BE819C9FA42BE18A277CF87336	782	no	no					
APU25_07920	BE9A6CC54D431D7D1279CE8BDACB61D9	596	no	yes	0	0	0		
APU25_07925	C9FCB79F049CD26177B1444CBB26855E	238	no	no					
APU25_07930	9449B091D2A49725628CD60950631E55	243	no	no					
APU25_07935	A490423D516E7C0E994B08B0EB7119A1	639	no	yes	5	2	0	2	GO:0003676,GO:0005524
APU25_07940	718F7C18FB57DC3B1913A2B897E0621A	568	no	yes	7	2	0	3	GO:0004616,GO:0006098,GO:0050661
APU25_07945	1B01661E5E7D22A3F24B5230DCAA9E8D	852	no	no					
APU25_07950	880046E9763BE8FBFD453E7E64773892	238	no	yes	2	2	0	1	GO:0005515
APU25_07955	9652706FE0CCBB0C6F1254CCB00A0184	860	no	yes	5	1	0	2	GO:0003924,GO:0005525
APU25_07960	A890543CA38C98C11E170D527507B50E	129	no	no					
APU25_07965	4110DED5637E16BA41BE22723D8AF3C9	333	no	no					
APU25_07970	37F1B767FED5156F0D3512FEC3FCF604	461	no	no					
APU25_07975	4CA6717F789328F53CD7C7AEEB07FAFE	255	no	yes	3	1	0	3	GO:0000906,GO:0009231,GO:0009349
APU25_07980	962E15ACC5E62E9D85DB1625B806801F	185	no	yes	2	1	0		
APU25_07985	11E575A3235CFCFE260F114C5FADE701	356	no	no					
APU25_07990	AED4CC18F5290015CE35987B2DC14F29	113	no	no					
APU25_07995	08D7D0ED87508ED03F70A3ADCB43F0A7	377	no	no					
APU25_08000	0E93EBD56945521464D7DC3F63B09146	217	no	no					
APU25_08005	C5DB46CCFDEB318545E287BBF72104A7	100	no	yes	0	0	0		
APU25_08010	EE247FC6BCF17BDCC76EF2F26F561CBB	275	no	no					
APU25_08015	8FE0CEEDFFBCBC6184376D9FB518621F	966	no	no					
APU25_08020	776322AFA12310FF194E5CAB60E2375E	220	no	yes	3	1	0	3	GO:0015078,GO:0015986,GO:0045259
APU25_08025	8A27DCDC14AB742C8767E998FB3D4158	167	no	yes	5	2	0	1	GO:0005515
APU25_08030	87F0F26622ACCAB40598A95B75718229	408	no	yes	3	1	0	2	GO:0004659,GO:0008299
APU25_08035	A576A472489D7AF96F031139AFF2A048	170	no	yes	4	1	0		
APU25_08040	3028361F242454F06937A9F21518BFC3	172	no	yes	0	0	0		
APU25_08045	DBF420795FAF5D410EC33993DE97DCB1	562	no	yes	4	1	0		
APU25_08050	9C1C1C21A799B147465550CF23F5761C	651	no	no					
APU25_08055	61A6562F01B35CC4709065F87CEE0657	1119	yes	no					
APU25_08060	AB7237E4E64937D272CCCB79FA3D1075	133	no	yes	0	0	0		
APU25_08065	C1797DE748283D5FF36C8105B57D26E9	360	no	yes	2	1	0		
APU25_08070	D13812646B77FD2F4FA087C3FE5A99BC	379	no	yes	2	1	0	1	GO:0003677
APU25_08075	78D8905C762EF4D161F0EA2017A2A859	179	no	yes	2	1	0	3	GO:0009523,GO:0010206,GO:0010207
APU25_08080	88A52FE6AAE7BF622ECD4DA4EC8900C6	488	no	yes	0	0	0		
APU25_08085	E1C3F0C3CDE4EB35B77DB1B06FD17056	628	no	no					
APU25_08090	8F93BF54A51CFDD5F3A97C35D5E13A94	80	no	yes	0	0	0		
APU25_08095	7605AFFF0383247791FF5A8D13317CF1	491	no	no					
APU25_08100	D70DEC8233FF91D367DD0380E250E0FB	165	no	no					
APU25_08105	5AF4C74D118105D3D6F2C9FA7F5ADA82	611	no	no					
APU25_08110	D298B0A543F5E15BD873BDE1297647B1	250	no	yes	3	1	0	1	GO:0005515
APU25_08115	8CC648A9DDEB23E41655A9A36DAB6E9A	383	no	yes	6	2	0		
APU25_08120	8D8BF6BC5CAEFED4FE0438A35CD3F933	882	no	no					
APU25_08125	55F6A1858632AF9FDB4D1B75EA90FBCF	579	no	no					
APU25_08130	AB477C99FD40D989BAED0C4225269C80	275	no	yes	2	1	0		
APU25_08135	55D796F136B19F665B93639B3CFDE814	298	no	yes	3	1	0		
APU25_08140	B37777EEB9E00B86B286ADB6B8FEFEA1	825	no	yes	0	0	0		
APU25_08145	A8171C0EAF6762E83E25D7B380480837	1535	no	no					
APU25_08150	F77666DF82420388D4EA169864FC9BAB	250	no	yes	0	0	0		
APU25_08155	A3D7E53673554332BC0069FA5FFA7F72	202	no	yes	0	0	0		
APU25_08160	3E7D5FFFDB5A63D198573F92683FDBCD	200	no	yes	8	2	0	5	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0022625
APU25_08165	5A8BD0BEAD97523C3D8E68E8C933F4FB	240	no	yes	4	1	0	1	GO:0016872
APU25_08170	3D1B656EB9020584B30A65942ABFF2D0	381	no	yes	4	3	0		
APU25_08175	23774507B2D3AB528781F01C117DED51	611	no	no					
APU25_08180	A18BF90D5CC1E045CA510FA00E7183A9	92	no	yes	0	0	0		
APU25_08185	2803DF7CA2A10263C24EE30B4471BA12	560	no	yes	4	1	0	2	GO:0022857,GO:0055085
APU25_08190	CAC32AEC1FAE250662ABF68358670410	444	no	no					
APU25_08195	B61B4721E47C00A8E6AEA85EAA0CA07B	404	no	yes	7	3	0	3	GO:0006886,GO:0006888,GO:0030127
APU25_08200	8544925856F0AFFFEA068A72ECB6320B	1236	no	no					
APU25_08205	76C0F7ADE231E5ECEF699EB284430DFD	152	yes	no					
APU25_08210	E0588CE76223A3413BC12B7B18B2FA19	123	no	no					
APU25_08215	1B7744A43BF43848B3F5544F1257D7E8	847	no	yes	0	0	0		
APU25_08220	680AC73E717790DB8B7D53DBD4EB5CE7	425	no	no					
APU25_08225	87611BD848B3C6F2B5B23EE7E8F9A4D6	812	no	yes	7	2	0	3	GO:0004672,GO:0005524,GO:0006468
APU25_08230	1B503BFD259AB3BBEE28E7877412986E	312	no	yes	2	1	0		
APU25_08235	F4C61051755C16FF1169ED488C02C5BC	385	no	yes	5	1	0	1	GO:0070403
APU25_08240	090EEB1D86DFB084CF86B151452F8787	556	no	no					
APU25_08245	9EF3497FA26657A1E13C143E812978AA	255	no	yes	4	1	0		
APU25_08250	539251E1CF6465A3ACC9D1AE02A62B5F	499	no	no					
APU25_08255	724AF71E939CF087CF82A67E10C6A3A8	325	no	yes	4	1	0	3	GO:0005506,GO:0016705,GO:0031418
APU25_08260	2FDAB40FCF9775385B1987A797528C3A	168	no	yes	2	1	0	1	GO:0003677
APU25_08265	FF611A4A2338570560C0F11DD0C956C8	872	no	yes	6	3	0	5	GO:0004176,GO:0004222,GO:0005524,GO:0006508,GO:0016887
APU25_08270	D345BD7082397560D9CEAFF9518F543A	160	no	no					
APU25_08275	0C4EA3E26F8B5E5B26BE5C8D1034AB4C	370	no	no					
APU25_08280	F40D29E3F65B5F83D9C508279965AAC9	326	no	yes	0	0	0		
APU25_08285	3F41C08EA6B03A8843C4BD1DC4830F8C	325	yes	no					
APU25_08290	3CC5D4FCF54AB3DEE31208FAA31DFBA4	334	no	no					
APU25_08295	AE4A7E7C2965531468E1F0462A844FCD	685	no	no					
APU25_08300	DE6CF178AABC6EE2D1EA405E0C0073A4	227	no	yes	3	1	0	2	GO:0045333,GO:0048039
APU25_08305	4AAD863A0E8E97995BFA17CDA297039E	273	no	no					
APU25_08310	C8E352400D18719DE87BB1FA584B0F39	95	no	yes	4	1	0	3	GO:0003735,GO:0005840,GO:0006412
APU25_08315	3E7474C2D7D6C1F1EDCBBACFFB1BE2E3	707	no	no					
APU25_08320	8AAD1CA2F3983535B66B324F9B229627	694	no	yes	4	2	0	1	GO:0019867
APU25_08325	78B77C5A7EC002252BA4498502037317	275	no	yes	0	0	0		
APU25_08330	5F6463F84516FD727E97750B157D6CE2	796	no	no					
APU25_08335	B60A485A74BFD40BFE6505C82BAE161A	390	no	yes	3	1	0	3	GO:0016020,GO:0022857,GO:0055085
APU25_08340	E2C4C4734DE98A5A217F801785D6006E	663	no	yes	3	1	0	1	GO:0006629
APU25_08345	CA78ED78AB0071420B4A19D18615F6D5	540	no	no					
APU25_08350	A993145666D1ADA2FE9CBC92AE281003	274	no	no					
APU25_08355	239FA69315D802A1D7E5C771D66185C6	801	no	no					
APU25_08360	2ED38C34906F643BD2B659D1FD0B87B2	569	no	no					
APU25_08365	689FFFB7F8483E17A54E3D1E56D1EEA1	375	no	no					
APU25_08370	EE9A021AFBDABAD58544C0D482DD2894	321	no	no					
APU25_08375	88DF61D25FF0B05F7192B17D951DCB2A	2704	no	no					
APU25_08380	5C939ACE5BFB5E6D70BD49C6B0DAA76A	576	no	yes	1	1	0	1	GO:0005515
APU25_08385	0251A21E1ED41A45659A3FFD12B88849	308	no	yes	3	1	0	2	GO:0000413,GO:0003755
APU25_08390	F43B26E5EE5AD7173598EA9931D3122C	227	no	yes	0	0	0		
APU25_08395	6CA81BF1C01D577CAC2BE97DCD8E9BB2	485	no	yes	5	1	0	3	GO:0000159,GO:0005515,GO:0019888
APU25_08400	65147A0C2955F2CBA754B57E556F28AB	138	no	no					
APU25_08405	0F4F6C9BFEEB76C9E5C747D3895A0572	1251	no	no					
APU25_08410	DC34254E92AD438D3339F04E0DA3CC82	448	no	yes	1	1	0	2	GO:0003677,GO:0006351
APU25_08415	5A31D0355ABDC7734047E03C976B9F9D	298	no	yes	3	0	0		
APU25_08420	AED6D47F2052C27F6D818980079980B1	551	no	yes	10	3	0	5	GO:0003924,GO:0005525,GO:0006614,GO:0008312,GO:0048500
APU25_08425	1EB4782A3067E80AA3BD1B2762976A9B	717	no	no					
APU25_08430	9BEF22FA87BAEE887F7EA0F82840415D	210	no	yes	1	1	0		
APU25_08435	1F7463EF45DE9BE682CE2E41498CA181	1562	no	no					
APU25_08440	90F4EDB8217B91FCDDD895E3826F8AFE	227	no	no					
APU25_08445	C884CACD41336EE6586C2E88D941EA3D	535	no	no					
APU25_08450	4FB6E1FC56B6005E1D9E742A9DFAC23A	357	no	yes	3	1	0	1	GO:0016747
APU25_08455	F707AA91AEEDFC17160DB802D9372F6A	1112	no	no					
APU25_08460	4CE916B3B2EF6CB4CBE8FAF27E9D775D	663	no	yes	4	2	0	1	GO:0003676
APU25_08465	B6CD9C427C989B475D55680E43DDB6C3	234	no	yes	4	2	0	1	GO:0005515
APU25_08470	B28C50C079606248DDAAF4D7284E3848	101	no	yes	1	1	0	1	GO:0000123
APU25_08475	007C8E02BE7F0FF478EC5D8A31C58AC3	614	no	yes	8	3	0	1	GO:0005509
APU25_08480	C99ECE8714259C7B1CD9C472F599D494	731	no	no					
APU25_08485	CAB772F15A8EF2C1366FC9DD4BDC4A2D	437	no	yes	6	2	0	3	GO:0004672,GO:0016310,GO:0016772
APU25_08490	864F0DA1B2BF23CFF5974DEB7FED0609	155	no	no					
APU25_08495	DA02583C4F02BDDC0961AB1ABEE15C52	542	no	yes	2	1	0	2	GO:0016020,GO:0016757
APU25_08500	57399257259B7A5D69A694F1B575B987	672	no	no					
APU25_08505	D66C355B6182396DC1EBE5ABD0ED19D9	326	no	no					
APU25_08510	22C5411C06F727AC5FE92E8C332095FC	174	no	no					
APU25_08515	75336DD7FA162A710DE0036783D49602	294	no	yes	3	1	0	3	GO:0004852,GO:0006780,GO:0033014
APU25_08520	B8911556342F00AA7F6129C41428EB4B	390	no	yes	10	2	0	4	GO:0004842,GO:0005515,GO:0043161,GO:0061630
APU25_08525	646650F35E540043E0D0A0F32B677F71	989	no	no					
APU25_08530	5E6A911B9D83364F488D1E1DA1B0BF0C	331	no	yes	1	1	0		
APU25_08535	B7F49D381B02F5734FD8A9C442757888	289	no	yes	7	2	0	1	GO:0016491
APU25_08540	500369F7989B6FC0D230D41356ED5F31	231	no	no					
APU25_08545	903CF69F5F39602A9E74BBFE1819E258	122	no	yes	0	0	0		
APU25_08550	3881EE2AF8D71A7E9E7A1C93C9A54582	162	no	no					
APU25_08555	371613B27A737E36F2A330CBF5E676D0	690	no	no					
APU25_08560	D20A6E2A5373AD6502BFC99315DCE71F	596	no	yes	8	2	0	3	GO:0003700,GO:0006352,GO:0006355
APU25_08565	2C124AF928E12B5AAFE831EC5692339E	230	no	yes	3	0	0	3	GO:0003676,GO:0008168,GO:0032259
APU25_08570	FA6C7A4A19963C32F3D851407F38EE66	577	no	yes	2	1	0	2	GO:0016020,GO:0016757
APU25_08575	B10BEBCF4A513072E0A483451EF1874D	492	no	no					
APU25_08580	80838640405D163078CB11204958FA25	506	no	yes	2	1	0	2	GO:0016020,GO:0016757
APU25_08585	83E3BF28B26452A1631E3720CAE2FF1A	496	no	no					
APU25_08590	9B2DB5C23E47EAA6F94EB4CD96C35CC4	603	no	yes	2	1	0	2	GO:0016020,GO:0016757
APU25_08595	903382620184CA3FC02A97015A7F3EC2	116	no	yes	2	1	0	2	GO:0005740,GO:0016020
APU25_08600	595AA3239EE3DB4FB6F8D81230DAE39D	602	no	yes	6	3	0	4	GO:0003676,GO:0004386,GO:0005524,GO:0006310
APU25_08605	C75CE806B278DC753E0031D30F2C9C8E	153	no	yes	0	0	0		
APU25_08610	D6725AED3C7878ED86FE014C9E3E7109	249	no	no					
APU25_08615	109AA2035C633BC724DA4C27D78F7C86	1457	no	no					
APU25_08620	792A71544E280A115D6B344715FCA0B3	1941	no	no					
APU25_08625	46F260A2DFC568F5681DB9D10ADB5188	415	no	yes	7	2	0	2	GO:0005524,GO:0016887
APU25_08630	E9E03B534E14DB70D3F140BCAED03ACC	349	no	yes	1	0	0		
APU25_08635	2786F53E7B65E84FE863BA80E690E1EF	317	no	no					
APU25_08640	7B882EDE6FA75BA11A188B98EE0C1907	505	no	yes	8	3	0	3	GO:0006086,GO:0016746,GO:0045254
APU25_08645	8D0DEAC186D84CA3F3CAF5913E1C9292	1030	no	no					
APU25_08650	F593D17302E435C6B66B8B93E03C52E1	810	no	no					
APU25_08655	07C236BA7AF4B0B2E0DABAE0CDB90A3D	483	no	yes	2	1	0		
APU25_08660	6154832180423C125ED61D6BD7E1D5A2	326	no	no					
APU25_08665	B2D19F9466479DFB3500119B0FA0602B	366	no	yes	3	1	0	2	GO:0030246,GO:2001070
APU25_08670	92598CB787C5B6D42C554EECECBCF526	407	no	yes	0	0	0		
APU25_08675	4F5F2B58A1B94F3FA36110759388EAEF	301	no	no					
APU25_08680	A6A7DCC1BA3D3BB0BAF836DAA7D12325	530	no	yes	0	0	0		
APU25_08685	9A42DE13410B7756DD0FC7E21801BB77	101	no	yes	0	0	0		
APU25_08690	7A921D3D2D58A94D029EB27E64BEE650	327	no	yes	1	1	0	2	GO:0000077,GO:0030896
APU25_08695	95E0905E9385800456981FD8D5663036	166	no	no					
APU25_08700	6AB19C7C4E6582322047F23B05C288BD	1301	no	no					
APU25_08705	74D9A7B65F5B5C2F53574D833914579C	140	no	yes	0	0	0		
APU25_08710	6F441E17820FCA4023DCA6BC55748556	577	no	no					
APU25_08715	9B502E8B027683780193DF107274AF07	278	no	yes	4	1	0	2	GO:0005666,GO:0006383
APU25_08720	A80F9AF65549380C3F89900E3AFFD6BA	178	no	yes	2	1	0	4	GO:0005885,GO:0015629,GO:0030041,GO:0034314
APU25_08725	ACAF4E06B6BBAD3DCA545483F40AB02F	391	no	yes	4	2	0		
APU25_08730	6B9C2E750D13CF5B0803171ED79CF184	525	no	no					
APU25_08735	D4CE8D1BB35EA7CCE2B77C2D5C7A7FCD	937	no	no					
APU25_08740	2E280FF77AD66DCEC8F512971FB22B98	365	no	no					
APU25_08745	972A3085243651BDAAB39C8C652C9731	603	no	no					
APU25_08750	8F11C2180FDFEFE12FE610BCAD180348	772	no	no					
APU25_08755	D264BEED896DFD63E6E4DDE88BC31D02	232	no	yes	4	1	0	4	GO:0004672,GO:0004674,GO:0005524,GO:0006468
APU25_08760	34F8DD384026D39DF44C02937B021858	150	no	no					
APU25_08765	E19E8E3848C486E684A1FA3C0C185ADF	523	no	no					
APU25_08770	E8309ED7E9B52291A99559DF64CD99FA	227	no	yes	2	1	0		
APU25_08775	853B4C6DAB47D05FF2A0D896C8617C22	133	no	yes	5	1	0	2	GO:0000956,GO:0003723
APU25_08780	45E95637C2936A233575A562C65F2EA5	542	no	no					
APU25_08785	2591C3876FB9639C87A0C712A628F89D	229	no	no					
APU25_08790	73A9BA3F5C7809260AE76E65D7043B0F	831	no	yes	9	5	0	6	GO:0003677,GO:0003678,GO:0005524,GO:0006260,GO:0006270,GO:0042555
APU25_08795	7D143F01FBCED72BAFEDFB935EA5B731	551	no	no					
APU25_08800	BE45B3848D124E4332A72BC5B2F0ED8C	409	no	no					
APU25_08805	AD250412561AEE8475D307CBB073E127	433	no	no					
APU25_08810	B1667D8EF628E2578066F9CE63A2E207	500	no	yes	4	1	0	2	GO:0022857,GO:0055085
APU25_08815	0AC094235B5B0A80F3FA75D8B90736FC	364	no	no					
APU25_08820	9DE8BA7EC671B27B2E7A857B0D632F22	565	no	no					
APU25_08825	380B97EBE8832AED080F63E0686E6F39	488	no	yes	1	0	0		
APU25_08830	F387627BA66323ADFBFFB242B3232981	518	no	yes	5	2	0		
APU25_08835	BAE514A5F5196C7BFCDC536B00F7F0BB	415	no	yes	4	1	0	2	GO:0005515,GO:0016787
APU25_08840	FB0F973E0B6801F67927C14C96799C69	608	no	no					
APU25_08845	D8E24C0DA46DA41186CC5A94C7FB9FBF	603	no	yes	6	1	0	4	GO:0004672,GO:0004712,GO:0005524,GO:0006468
APU25_08850	4DF6C6D32D9B55C11401EB6506D6965D	487	no	no					
APU25_08855	9F86053FC5787CF08C402F2635FFE73C	164	no	yes	1	1	0		
APU25_08860	F3F2E0EBCD4ED9AB2F03414E232A4D9A	603	no	yes	5	1	0		
APU25_08865	4FDF99F5D68BB69E94F98776CD99A4D2	530	no	no					
APU25_08870	2E4A9DB2AE71BEEC72C492E026FDFEEE	356	no	yes	5	2	0	3	GO:0004418,GO:0018160,GO:0033014
APU25_08875	653260037493030782F1604374CD7951	380	no	no					
APU25_08880	8999C0A6835597A210888889F46F748C	113	no	yes	1	1	0		
APU25_08885	B52640AAE2ED692DC72B207AE1579EF8	349	no	yes	3	1	0	1	GO:0005515
APU25_08890	AC21EF10379FFEB98A7D8927416B2E76	179	no	yes	7	2	0	3	GO:0003723,GO:0005634,GO:0042255
APU25_08895	6423DC7D9C611F482171793772E47A4E	619	no	no					
APU25_08900	C3D7F11BC5C1BD6E25794AF0B855700D	719	no	no					
APU25_08905	1D275CC0E47403754F9DB00B78295B56	241	no	no					
APU25_08910	C7B255D22BDE5FF7FC12F2538F44F4BA	359	no	yes	3	1	0	2	GO:0004332,GO:0006096
APU25_08915	A9012506007CAA63E58E93B4DD0F0B9E	316	no	yes	5	1	0		
APU25_08920	89F62EE2E95685E906B3B255513E85F8	348	no	yes	2	1	0	2	GO:0005506,GO:0008610
APU25_08925	F4F072EF5BA6241679798C9680FFA8E5	481	no	no					
APU25_08930	1EDBBCFE0B651E50A2FEF0A87A026A8D	202	no	yes	1	1	0		
APU25_08935	88EB4737EE1D93C4BF119F97EB038CE9	370	no	no					
APU25_08940	6B71A796E169C4963619EF0920A4683D	295	no	no					
APU25_08945	1D986F6472BB1C0541E87F688C07FF07	130	no	no					
APU25_08950	97E46B5ACE5CFD57AF6C95D8371B8594	1192	no	no					
APU25_08955	33C7A6C0E8D091C46B470C9F028CDD1F	96	no	no					
APU25_08960	2396D80C235919208481ACFCBAC0AE9E	108	no	yes	0	0	0		
APU25_08965	AF40422F09A1780324C24379DA4F323D	78	no	no					
APU25_08970	BC5390FA5F6C12C9E264DDB575611675	247	no	no					
APU25_08975	80B1ADA10F689CFD1EB8E5AD5AF05CBE	40	no	no					
APU25_08980	AC94CA89DD704D4A6E2B1BE5ECD1D756	294	no	yes	5	1	0	2	GO:0005524,GO:0016887
APU25_08985	F98B67B34570ED6E992C307F52962EB3	499	no	yes	4	1	0		
APU25_08990	A28E06C734A561F7DC295158976B4871	622	no	yes	2	1	0	2	GO:0005092,GO:0007264
APU25_08995	FCA2DDCD983A6942DA3FA5C4BBD43F4D	573	no	no					
APU25_09000	18A0E58C7469766BA4348D6B6A1D001B	544	no	yes	3	1	0		
APU25_09005	85387D96D9FB20620F6689CECA6E23F0	722	no	yes	6	3	0	3	GO:0000398,GO:0005515,GO:0006396
APU25_09010	D3E7DF28CC7CEDF98BF3628193A70FE2	482	no	yes	7	1	0	3	GO:0005737,GO:0006099,GO:0046912
APU25_09015	0D28B78165AE5146F744E426F9A62CB9	246	no	no					
APU25_09020	1431F6AB58F146D149783B6BE615E682	118	no	yes	0	0	0		
APU25_09025	147EBFAA09DF80F1F40A3EAC732CF7A2	84	no	no					
APU25_09030	C64E1A0CC9C279266AE8566BE69143F2	66	no	yes	2	0	0	2	GO:0005758,GO:0033617
APU25_09035	04288953465518E50CC83CF4463C41E8	418	no	no					
