locus_tag	symbol	product	chromosome	accession	start	end	strand	exons	protein_len	source_locus	subgenome	identity	QC	symbol_source	product_source	dup_pair_id	interpro_family_candidates	interpro_family_unresolved	interpro_domain_all	interpro_structural_only	symbol_rejected	symbol_rejected_reason	eggnog_data_row
APU25_10190		Fatty acid hydroxylase domain-containing protein	5	CM128229.1	779927	782215	+	6	446	ACKKBF_B09995	B	0.9955	pass	none	interpro_domain				IPR006694 Fatty acid hydroxylase				TRUE
APU25_10195	VPS11	PEP5/VPS11 N-terminal and Vacuolar protein sorting protein 11, C-terminal domain-containing protein	5	CM128229.1	782589	787075	+	8	914	ACKKBF_B10000	B	0.9934	pass	utex250a	interpro_domain_multi				IPR057307 PEP5/VPS11 N-terminal; IPR024763 Vacuolar protein sorting protein 11, C-terminal				FALSE
APU25_10200	CLCN6	Cupin-like domain 8 and JmjC domain-containing protein	5	CM128229.1	787495	788678	-	2	354	ACKKBF_B10005	B	0.9972	pass	eggnog	interpro_domain_multi				IPR041667 Cupin-like domain 8; IPR003347 JmjC domain				TRUE
APU25_10205		hypothetical protein	5	CM128229.1	789131	790621	+	3	390	ACKKBF_B10010	B	0.9923	pass	none	none					TRUE			FALSE
APU25_10210	ENT1	hypothetical protein	5	CM128229.1	791379	793282	+	4	419	ACKKBG_A10015	A	0.9761	internal_stop,frameshift	eggnog	none								TRUE
APU25_10215	ENT1	Equilibrative nucleoside transporter	5	CM128229.1	794029	795941	+	4	433	ACKKBF_B10025	B	0.9838	pass	eggnog	interpro_family								TRUE
APU25_10220	EMB140	RNA recognition motif domain-containing protein	5	CM128229.1	796144	800225	-	9	818	ACKKBF_B10030	B	0.9951	pass	eggnog	interpro_domain				IPR000504 RNA recognition motif domain				TRUE
APU25_10225	PAHX	Phytanoyl-CoA dioxygenase-like	5	CM128229.1	800531	801772	+	3	289	ACKKBF_B10035	B	0.9965	pass	eggnog	interpro_family								TRUE
APU25_10230		hypothetical protein	5	CM128229.1	802099	805031	-	5	647	ACKKBF_B10040	B	0.9799	pass	none	none								TRUE
APU25_10235	UGE1	UDP-glucose 4-epimerase	5	CM128229.1	805455	807632	+	6	350	ACKKBG_A10045	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10240	RRM11	AdoMet-dependent rRNA methyltransferase SPB1-like	5	CM128229.1	807944	811307	+	5	863	ACKKBF_B10050	B	0.9977	pass	utex250a	interpro_family								TRUE
APU25_10245	ABCG14	ATP-binding cassette subfamily G transporters	5	CM128229.1	812334	816455	+	11	752	ACKKBG_A10055	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_10250		Domain of unknown function DUF659 domain-containing protein	5	CM128229.1	818008	818581	+	3	133	ACKKBF_B10060	B	1.0000	pass	none	interpro_domain				IPR007021 Domain of unknown function DUF659		LOC110775531	loc_placeholder	TRUE
APU25_10255	NFD5	PROP1-like, PPR domain-containing protein	5	CM128229.1	820294	822820	+	5	573	ACKKBF_B10070	B	0.9965	pass	eggnog	interpro_domain				IPR033443 PROP1-like, PPR domain				TRUE
APU25_10260	PEMT	Phosphatidyl-N-methylethanolamine/Phosphatidylethanolamine N-methyltransferase	5	CM128229.1	823248	824280	-	3	252	ACKKBF_B10075	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_10265	SMT15	SLC26A/SulP transporter and STAS domain-containing protein	5	CM128229.1	824115	830141	+	14	1064	ACKKBG_A10080	A	0.9832	pass	eggnog	interpro_domain_multi				IPR011547 SLC26A/SulP transporter domain; IPR002645 STAS domain				TRUE
APU25_10270	CYCU1	Cyclin PHO80-like	5	CM128229.1	830664	831684	-	3	236	ACKKBF_B10085	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10275	ABHD4	Epoxide hydrolase-like	5	CM128229.1	832179	833815	-	4	409	ACKKBF_B10090	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_10280	SMC3	Structural maintenance of chromosomes 3, ABC domain, eukaryotic and RecF/RecN/SMC, N-terminal domain-containing protein	5	CM128229.1	834211	841826	+	24	1215	ACKKBF_B10095	B	0.9992	no_start_Met	utex250a	interpro_domain_multi				IPR041741 Structural maintenance of chromosomes 3, ABC domain, eukaryotic; IPR003395 RecF/RecN/SMC, N-terminal; IPR010935 SMCs flexible hinge				TRUE
APU25_10285	RLP24	Large ribosomal subunit protein eL24-related, N-terminal and TRASH domain-containing protein	5	CM128229.1	842244	842937	-	2	163	ACKKBF_B10100	B	0.9939	no_start_Met	eggnog	interpro_domain_multi				IPR000988 Large ribosomal subunit protein eL24-related, N-terminal; IPR011017 TRASH domain				TRUE
APU25_10290	C1orf74	Protein of unknown function DUF4504	5	CM128229.1	843472	844531	-	2	279	ACKKBF_B10105	B	1.0000	pass	eggnog	interpro_family	DUP0116							TRUE
APU25_10295	C1orf74	hypothetical protein	5	CM128229.1	844521	844938	-	2	97	ACKKBF_B10110	B	0.9897	pass	eggnog	none	DUP0116							TRUE
APU25_10300	C1orf74	hypothetical protein	5	CM128229.1	845177	846067	-	3	209	ACKKBF_B10115	B	0.9952	pass	eggnog	none	DUP0116							TRUE
APU25_10305	SAC1	SAC domain-containing protein	5	CM128229.1	846390	850390	+	4	1190	ACKKBF_B10120	B	0.9933	pass	eggnog	interpro_domain				IPR002013 SAC domain				TRUE
APU25_10310	RMD1	RMD1/Sad1-interacting	5	CM128229.1	850999	853128	-	6	398	ACKKBG_A10125	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_10315		hypothetical protein	5	CM128229.1	853513	858787	+	8	1376	ACKKBF_B10130	B	0.9949	pass	none	none								FALSE
APU25_10320	VTI1A	Phospholipid Metabolizing Enzymes	5	CM128229.1	859174	863264	-	14	618	ACKKBF_B10135	B	0.9984	pass	utex250a	interpro_family								TRUE
APU25_10325	VTI1B	Vesicle transport v-SNARE, N-terminal domain-containing protein	5	CM128229.1	863915	865061	-	4	289	ACKKBF_B10140	B	0.9931	internal_stop,frameshift	utex250a	interpro_domain				IPR007705 Vesicle transport v-SNARE, N-terminal				TRUE
APU25_10330		Mediator complex, subunit Med20	5	CM128229.1	865434	866868	+	6	233	ACKKBF_B10145	B	1.0000	pass	none	interpro_family	DUP0117					LOC107818624	loc_placeholder	TRUE
APU25_10335		Cupin-like domain 8 and JmjC domain-containing protein	5	CM128229.1	867102	868695	+	4	394	ACKKBF_B10150	B	1.0000	pass	none	interpro_domain_multi	DUP0117			IPR041667 Cupin-like domain 8; IPR003347 JmjC domain		LOC107818624	loc_placeholder	TRUE
APU25_10340	PYRD	Riboflavin biosynthesis protein RibD	5	CM128229.1	868968	869720	-	2	211	ACKKBF_B10155	B	0.9953	pass	eggnog	interpro_family								TRUE
APU25_10345	FUBP1	K Homology and K Homology domain, type 1 domain-containing protein	5	CM128229.1	871117	873151	+	4	483	ACKKBG_A10160	A	0.9731	pass	eggnog	interpro_domain_multi				IPR004087 K Homology domain; IPR004088 K Homology domain, type 1				TRUE
APU25_10350	CP12	CP12 domain-containing protein	5	CM128229.1	873990	874456	-	2	117	ACKKBF_B10165	B	0.9829	pass	utex250a	interpro_domain				IPR003823 CP12 domain				TRUE
APU25_10355	PYG7	Photosystem I assembly protein Ycf3	5	CM128229.1	874698	876025	+	5	266	ACKKBF_B10170	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10360		Neuronal Pentraxin and Related	5	CM128229.1	876364	884390	-	18	1559	ACKKBF_B10175	B	0.9974	pass	none	interpro_family								TRUE
APU25_10365		hypothetical protein	5	CM128229.1	885026	886454	+	3	401	ACKKBF_B10180	B	0.9950	pass	none	none								FALSE
APU25_10370		hypothetical protein	5	CM128229.1	885902	886483	-	1	193	ACKKBF_B39925	B-only	1.0000	pass	none	none								FALSE
APU25_10375		Short-chain dehydrogenase/reductase SDR	5	CM128229.1	886696	888349	+	5	363	ACKKBF_B10185	B	0.9862	pass	none	interpro_family								TRUE
APU25_10380	MMS19	MMS19, N-terminal and MMS19, C-terminal domain-containing protein	5	CM128229.1	888708	893299	-	11	1029	ACKKBF_B10190	B	0.9932	pass	eggnog	interpro_domain_multi				IPR029240 MMS19, N-terminal; IPR024687 MMS19, C-terminal				TRUE
APU25_10385	MRPL63	hypothetical protein	5	CM128229.1	893660	893986	+	2	67	ACKKBF_B10195	B	0.9701	no_start_Met	utex250a	none								TRUE
APU25_10390	MINDY2	MINDY deubiquitinase	5	CM128229.1	894514	897769	+	9	632	ACKKBF_B10200	B	0.9937	pass	eggnog	interpro_family								TRUE
APU25_10395		hypothetical protein	5	CM128229.1	898025	899936	-	4	489	ACKKBF_B10205	B	1.0000	pass	none	none	DUP0118				TRUE			TRUE
APU25_10400		RING-type E3 ubiquitin ligase ATL	5	CM128229.1	900447	901450	-	4	184	ACKKBF_B10210	B	1.0000	pass	none	interpro_family	DUP0118							TRUE
APU25_10405		RNA methyltransferase RlmH	5	CM128229.1	901769	902416	+	2	167	ACKKBG_A10215	tie	1.0000	pass	none	interpro_family						LOC102716680	loc_placeholder	TRUE
APU25_10410		hypothetical protein	5	CM128229.1	902724	903200	-	2	114	ACKKBF_B10220	B	0.9825	pass	none	none								TRUE
APU25_10415	CMP2	Carbamoyl-phosphate synthase, small subunit	5	CM128229.1	903465	906202	-	5	530	ACKKBG_A10225	A	0.9811	pass	utex250a	interpro_family								TRUE
APU25_10420	DLA1	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	5	CM128229.1	906711	909117	+	3	635	ACKKBF_B10230	B	0.9969	pass	utex250a	interpro_family								TRUE
APU25_10425	CGL118	Glucuronokinase-like	5	CM128229.1	909443	910874	+	4	359	ACKKBF_B10235	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10430	CIA1	hypothetical protein	5	CM128229.1	911005	912759	-	6	387	ACKKBF_B10240	B	0.9871	pass	eggnog	none					TRUE			TRUE
APU25_10435	RBM12B	RNA recognition motif and Nucleolar protein 8, RNA recognition motif domain-containing protein	5	CM128229.1	912976	915028	+	3	599	ACKKBF_B10245	B	0.9753	pass	eggnog	interpro_domain_multi				IPR000504 RNA recognition motif domain; IPR034138 Nucleolar protein 8, RNA recognition motif				TRUE
APU25_10440	EHD1	EH and EF-hand domain-containing protein	5	CM128229.1	915359	918861	-	10	583	ACKKBF_B10250	B	1.0000	pass	eggnog	interpro_domain_multi				IPR000261 EH domain; IPR002048 EF-hand domain; IPR031692 EH domain-containing protein, N-terminal; IPR030381 Dynamin-type guanine nucleotide-binding (G) domain; IPR045063 Dynamin, N-terminal; IPR040990 Domain of unknown function DUF5600				TRUE
APU25_10445	COX19	hypothetical protein	5	CM128229.1	919410	919998	+	3	130	ACKKBF_B10255	B	0.9846	frameshift	utex250a	none								TRUE
APU25_10450		Protein kinase domain-containing protein	5	CM128229.1	920334	923002	+	7	499	ACKKBF_B10265	B	0.9980	pass	none	interpro_domain				IPR000719 Protein kinase domain				TRUE
APU25_10455		hypothetical protein	5	CM128229.1	923375	924897	-	4	328	ACKKBF_B10270	B	0.9939	pass	none	none								TRUE
APU25_10460	ECR	3-oxo-5-alpha-steroid 4-dehydrogenase/very-long-chain enoyl-CoA reductase	5	CM128229.1	925288	927207	-	7	311	ACKKBF_B10275	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_10465	TSQ1	hypothetical protein	5	CM128229.1	927542	932105	+	13	796	ACKKBF_B10280	B	1.0000	pass	utex250a	none		IPR004514 Glutamine-tRNA synthetase; IPR050132 Glutamine/Glutamate--tRNA Ligase	TRUE					TRUE
APU25_10470	CYCB1	Cyclin, N-terminal and Cyclin-like domain-containing protein	5	CM128229.1	932655	934911	+	7	502	ACKKBF_B10290	B	0.9980	pass	utex250a	interpro_domain_multi				IPR006671 Cyclin, N-terminal; IPR013763 Cyclin-like domain; IPR004367 Cyclin, C-terminal domain				TRUE
APU25_10475	H0404F02.5	3'-5' ssDNA/RNA exonuclease TatD-like	5	CM128229.1	935672	936861	-	3	311	ACKKBF_B10295	B	0.9871	internal_stop	eggnog	interpro_family								TRUE
APU25_10480	DEGP9	Peptidase S1C	5	CM128229.1	937641	941280	+	13	576	ACKKBG_A10300	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_10485	CLPR4	ATP-dependent Clp protease proteolytic subunit	5	CM128229.1	941563	943140	+	6	262	ACKKBF_B10305	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10490		hypothetical protein	5	CM128229.1	943395	944478	-	3	219	ACKKBG_A10310	tie	1.0000	pass	none	none								TRUE
APU25_10495	PKP2	Pyruvate kinase	5	CM128229.1	944809	947534	-	6	619	ACKKBF_B10315	B	1.0000	pass	eggnog	interpro_family	DUP0119							TRUE
APU25_10500	PKP2	hypothetical protein	5	CM128229.1	948182	949635	-	6	249	ACKKBF_B39930	B-only	0.9799	pass	eggnog	none	DUP0119							TRUE
APU25_10505	OASTL1	Cysteine synthase CysK	5	CM128229.1	950628	953061	+	9	398	ACKKBF_B10340	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10510	CAG2	Gamma carbonic anhydrase-like	5	CM128229.1	953423	954671	-	4	273	ACKKBF_B10345	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10515		hypothetical protein	5	CM128229.1	955545	956766	+	4	236	ACKKBG_A10350	tie	0.9958	pass	none	none								TRUE
APU25_10520	TRPA1	Tryptophan synthase, alpha chain	5	CM128229.1	957215	958469	-	3	330	ACKKBF_B10355	B	0.9939	pass	utex250a	interpro_family								TRUE
APU25_10525		Domain of unknown function DUF629 and Zinc finger C2H2-type domain-containing protein	5	CM128229.1	958649	965606	+	9	1688	ACKKBF_B10360	B	0.9917	pass	none	interpro_domain_multi				IPR006865 Domain of unknown function DUF629; IPR013087 Zinc finger C2H2-type		LOC123093267	loc_placeholder	TRUE
APU25_10530	APEX2	AP endonuclease 1	5	CM128229.1	965729	967606	-	6	416	ACKKBF_B10365	B	0.9764	pass	eggnog	interpro_family								TRUE
APU25_10535		RNA annealing protein YRA2, C-terminal domain-containing protein	5	CM128229.1	968156	968914	+	4	141	ACKKBF_B10370	B	1.0000	pass	none	interpro_domain				IPR025715 RNA annealing protein YRA2, C-terminal				TRUE
APU25_10540	ORTH2	UHRF1/2-like	5	CM128229.1	969188	974037	-	16	718	ACKKBF_B10375	B	0.9958	pass	eggnog	interpro_family								TRUE
APU25_10545		hypothetical protein	5	CM128229.1	974866	975435	+	2	131	ACKKBG_A10385	tie	1.0000	pass	none	none								TRUE
APU25_10550		FAD-binding domain-containing protein	5	CM128229.1	975448	978335	+	5	665	ACKKBF_B10380	B	0.9880	pass	none	interpro_domain				IPR002938 FAD-binding domain		LOC102721133	loc_placeholder	TRUE
APU25_10555	TAF15	RNA recognition motif and Zinc finger, RanBP2-type domain-containing protein	5	CM128229.1	978601	980887	+	6	512	ACKKBF_B10390	B	0.9865	pass	eggnog	interpro_domain_multi				IPR000504 RNA recognition motif domain; IPR001876 Zinc finger, RanBP2-type				TRUE
APU25_10560	HSP70F	Heat shock protein 70 family	5	CM128229.1	981219	983109	-	4	491	ACKKBF_B10395	B	0.9878	pass	utex250a	interpro_family								TRUE
APU25_10565		Serine/Threonine Kinases and Pseudokinases	5	CM128229.1	984083	988055	-	8	793	ACKKBF_B10400	B	0.9962	pass	none	interpro_family								TRUE
APU25_10570	SECA1	Protein translocase subunit SecA	5	CM128229.1	988385	994500	+	16	1028	ACKKBG_A10410	A	0.9951	internal_stop	utex250a	interpro_family								TRUE
APU25_10575		AP2/ERF domain-containing protein	5	CM128229.1	994832	996283	-	5	264	ACKKBF_B10415	B	1.0000	pass	none	interpro_domain				IPR001471 AP2/ERF domain		LOC101781817	loc_placeholder	TRUE
APU25_10580	SCAMP3	SCAMP	5	CM128229.1	996691	998513	-	6	304	ACKKBF_B10420	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_10585	LCI28	Aldo-keto reductase	5	CM128229.1	998993	1002314	+	6	745	ACKKBF_B10425	B	0.9987	pass	utex250a	interpro_family								TRUE
APU25_10590	BASS4	Putative sodium bile acid cotransporter	5	CM128229.1	1002733	1004548	-	4	422	ACKKBF_B10430	B	0.9976	pass	eggnog	interpro_family								TRUE
APU25_10595	RPE1	Ribulose-phosphate 3-epimerase	5	CM128229.1	1004832	1006733	+	7	269	ACKKBG_A10435	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10600	EDA7	Nucleolar protein 10/Enp2	5	CM128229.1	1007376	1011210	+	11	704	ACKKBG_A10440	A	0.9872	pass	eggnog	interpro_family								TRUE
APU25_10605	PAP10	Plastid lipid-associated protein/fibrillin conserved domain-containing protein	5	CM128229.1	1011480	1012792	-	4	300	ACKKBF_B10445	B	0.9967	pass	eggnog	interpro_domain				IPR006843 Plastid lipid-associated protein/fibrillin conserved domain				TRUE
APU25_10610		hypothetical protein	5	CM128229.1	1013252	1015261	-	5	372	ACKKBF_B10450	B	0.9946	pass	none	none	DUP0120							TRUE
APU25_10615		hypothetical protein	5	CM128229.1	1015349	1016306	-	2	283	ACKKBG_A10455	A-only	0.9293	pass	none	none	DUP0120				TRUE			TRUE
APU25_10620	ARC6	Plastid division protein CDP1-like, 1st alpha solenoid and Plastid division protein CDP1-like, 2nd alpha solenoid domain-containing protein	5	CM128229.1	1016866	1020834	-	10	834	ACKKBF_B10460	B	0.9892	pass	utex250a	interpro_domain_multi				IPR058032 Plastid division protein CDP1-like, 1st alpha solenoid domain; IPR057137 Plastid division protein CDP1-like, 2nd alpha solenoid domain; IPR025344 Plastid division protein CDP1-like, IMS domain				TRUE
APU25_10625		Beta-alanine Activation and Resistance	5	CM128229.1	1021084	1025462	+	8	1086	ACKKBF_B10465	B	0.9963	pass	none	interpro_family								TRUE
APU25_10630		Nuclease associated modular domain 3 domain-containing protein	5	CM128229.1	1025735	1027820	-	6	345	ACKKBG_A10470	A	0.9913	pass	none	interpro_domain				IPR003611 Nuclease associated modular domain 3		LOC107897467	loc_placeholder	TRUE
APU25_10635	RD2	Universal stress protein A family	5	CM128229.1	1028270	1029332	+	6	163	ACKKBF_B10475	B	0.9877	pass	eggnog	interpro_family								TRUE
APU25_10640	PARPA_13035.1	Universal stress protein A family	5	CM128229.1	1030067	1031259	+	6	162	ACKKBG_A10480	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_10645	FKB20	FKBP-type peptidyl-prolyl cis-trans isomerase domain-containing protein	5	CM128229.1	1031482	1032638	-	3	305	ACKKBF_B10485	B	0.8918	pass	utex250a	interpro_domain				IPR001179 FKBP-type peptidyl-prolyl cis-trans isomerase domain				TRUE
APU25_10650		MnmG, N-terminal and tRNA uridine 5-carboxymethylaminomethyl modification enzyme, C-terminal subdomain domain-containing protein	5	CM128229.1	1032907	1035823	-	5	760	ACKKBF_B10490	B	0.9961	pass	none	interpro_domain_multi				IPR040131 MnmG, N-terminal domain; IPR047001 tRNA uridine 5-carboxymethylaminomethyl modification enzyme, C-terminal subdomain; IPR026904 tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG, C-terminal		LOC107805970	loc_placeholder	TRUE
APU25_10655		Vacuolar protein sorting-associated protein 62	5	CM128229.1	1036547	1056775	+	27	4995	ACKKBF_B10495	B	0.9951	internal_stop,frameshift	none	interpro_family						LOC107805970	loc_placeholder	TRUE
APU25_10660	MSD2B	Manganese/iron superoxide dismutase, N-terminal and Manganese/iron superoxide dismutase, C-terminal domain-containing protein	5	CM128229.1	1057027	1058356	-	5	229	ACKKBF_B10500	B	0.9956	pass	utex250a	interpro_domain_multi				IPR019831 Manganese/iron superoxide dismutase, N-terminal; IPR019832 Manganese/iron superoxide dismutase, C-terminal				TRUE
APU25_10665	MSD2A	Manganese/iron superoxide dismutase, N-terminal and Manganese/iron superoxide dismutase, C-terminal domain-containing protein	5	CM128229.1	1058781	1060160	-	5	242	ACKKBG_A10505	A	0.9959	pass	utex250a	interpro_domain_multi				IPR019831 Manganese/iron superoxide dismutase, N-terminal; IPR019832 Manganese/iron superoxide dismutase, C-terminal				TRUE
APU25_10670	CPK1	Protein kinase and EF-hand domain-containing protein	5	CM128229.1	1060810	1064307	-	5	837	ACKKBF_B10510	B	0.9988	pass	eggnog	interpro_domain_multi				IPR000719 Protein kinase domain; IPR002048 EF-hand domain				TRUE
APU25_10675		MoxR and ATPase RavA-like, AAA lid domain-containing protein	5	CM128229.1	1065161	1068633	+	11	539	ACKKBG_A10515	A	0.9907	pass	none	interpro_domain_multi				IPR045427 MoxR domain; IPR041538 ATPase RavA-like, AAA lid domain				TRUE
APU25_10680		hypothetical protein	5	CM128229.1	1069081	1070267	-	5	165	ACKKBF_B10520	B	0.9939	pass	none	none								FALSE
APU25_10685		hypothetical protein	5	CM128229.1	1070646	1071416	+	4	159	ACKKBF_B10525	B	1.0000	pass	none	none					TRUE	LOC107821291	loc_placeholder	TRUE
APU25_10690	PTOX1	Alternative oxidase	5	CM128229.1	1071721	1074809	-	11	479	ACKKBF_B10530	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10695	ABCF4	ABC transporter-like, ATP-binding and AAA+ ATPase domain-containing protein	5	CM128229.1	1075155	1079477	-	13	759	ACKKBF_B10535	B	0.9921	pass	eggnog	interpro_domain_multi				IPR003439 ABC transporter-like, ATP-binding domain; IPR003593 AAA+ ATPase domain				TRUE
APU25_10700		Pyridinium-3,5-biscarboxylic acid mononucleotide synthase LarB-like	5	CM128229.1	1079909	1081649	+	4	332	ACKKBF_B10540	B	1.0000	pass	none	interpro_family								TRUE
APU25_10705	NUP188	hypothetical protein	5	CM128229.1	1082258	1090315	-	13	1866	ACKKBF_B10545	B	0.9898	pass	utex250a	none								TRUE
APU25_10710		Protein of unknown function DUF455	5	CM128229.1	1090647	1091972	-	3	322	ACKKBF_B10550	B	0.9969	pass	none	interpro_family						LOC109015588	loc_placeholder	TRUE
APU25_10715	ISU1	Iron-sulfur cluster assembly scaffold protein IscU	5	CM128229.1	1092270	1093043	+	3	168	ACKKBF_B10555	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10720	CGL98	EamA domain-containing protein	5	CM128229.1	1093504	1095291	-	4	383	ACKKBF_B10560	B	0.9974	pass	utex250a	interpro_domain				IPR000620 EamA domain				TRUE
APU25_10725	MMP2	hypothetical protein	5	CM128229.1	1096045	1097768	+	3	431	ACKKBF_B10565	B	0.9977	pass	utex250a	none								TRUE
APU25_10730	LTO1	Vitamin K epoxide reductase and Vitamin K epoxide reductase-like VKOR/LOT1 domain-containing protein	5	CM128229.1	1098046	1099860	-	5	352	ACKKBF_B10570	B	0.9972	pass	utex250a	interpro_domain_multi				IPR012932 Vitamin K epoxide reductase; IPR044698 Vitamin K epoxide reductase-like VKOR/LOT1				TRUE
APU25_10735	BRPF1	Bromodomain domain-containing protein	5	CM128229.1	1100318	1104220	+	4	1082	ACKKBF_B10575	B	0.9935	pass	eggnog	interpro_domain				IPR001487 Bromodomain				TRUE
APU25_10740	ARP7	Actin family	5	CM128229.1	1104817	1106679	-	5	375	ACKKBF_B10580	B	0.9787	pass	utex250a	interpro_family								TRUE
APU25_10745	NUDT2	Nudix hydrolase 6-like	5	CM128229.1	1107248	1109071	-	6	335	ACKKBG_A10585	A	0.9970	pass	eggnog	interpro_family								TRUE
APU25_10750	KDM5A	JmjN and ARID DNA-binding domain-containing protein	5	CM128229.1	1109424	1121293	+	29	2279	ACKKBF_B10590	B	0.9961	pass	eggnog	interpro_domain_multi				IPR003349 JmjN domain; IPR001606 ARID DNA-binding domain; IPR019787 Zinc finger, PHD-finger; IPR001965 Zinc finger, PHD-type; IPR003347 JmjC domain; IPR004198 Zinc finger, C5HC2-type; IPR013637 Lysine-specific demethylase-like domain				TRUE
APU25_10755		RNA polymerase sigma-70-like and RNA polymerase sigma-70 region 2 domain-containing protein	5	CM128229.1	1121920	1123647	-	4	442	ACKKBF_B10595	B	0.9977	pass	none	interpro_domain_multi				IPR014284 RNA polymerase sigma-70-like domain; IPR007627 RNA polymerase sigma-70 region 2; IPR007624 RNA polymerase sigma-70 region 3; IPR007630 RNA polymerase sigma-70 region 4				TRUE
APU25_10760		Uridylate kinase, bacteria	5	CM128229.1	1123983	1125408	-	3	323	ACKKBG_A10600	tie	0.9938	pass	none	interpro_family						LOC106763485	loc_placeholder	TRUE
APU25_10765	Cnig_chr_III.g11653	Splicing factor 3B subunit 1-like	5	CM128229.1	1125816	1130822	+	7	1242	ACKKBF_B10605	B	0.9968	pass	eggnog	interpro_family								TRUE
APU25_10770	RPT1	26S Proteasome Regulatory ATPase	5	CM128229.1	1131124	1133619	-	7	427	ACKKBG_A10610	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10775	BnaCnng62890D	hypothetical protein	5	CM128229.1	1134146	1134543	+	2	101	ACKKBG_A39945	A	1.0000	pass	eggnog	none								TRUE
APU25_10780	Dennd5b	cDENN and Tripartite DENN domain-containing protein	5	CM128229.1	1135301	1140173	+	10	960	ACKKBF_B10615	B	0.9927	pass	eggnog	interpro_domain_multi				IPR001194 cDENN domain; IPR037516 Tripartite DENN domain				TRUE
APU25_10785	PRPL28	Large ribosomal subunit protein bL28, bacteria	5	CM128229.1	1140362	1141307	-	4	187	ACKKBG_A10620	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10790	TSV2	Valine-tRNA ligase	5	CM128229.1	1141869	1146226	+	7	1067	ACKKBF_B10625	B	0.9963	pass	utex250a	interpro_family								TRUE
APU25_10795	RPC5	DNA-directed RNA polymerase III subunit Rpc5	5	CM128229.1	1146512	1148558	-	5	410	ACKKBG_A10630	A	0.9976	pass	utex250a	interpro_family								TRUE
APU25_10800	RANBP10	B30.2/SPRY and Ran binding protein 9/10, SPRY domain-containing protein	5	CM128229.1	1149115	1151521	+	6	468	ACKKBF_B10635	B	0.9252	pass	eggnog	interpro_domain_multi				IPR001870 B30.2/SPRY domain; IPR035782 Ran binding protein 9/10, SPRY domain; IPR003877 SPRY domain; IPR006595 CTLH, C-terminal LisH motif; IPR024964 CTLH/CRA C-terminal to LisH motif domain; IPR013144 CRA domain				TRUE
APU25_10805	mtr	Amino acid transporter, transmembrane domain-containing protein	5	CM128229.1	1152044	1154309	+	6	450	ACKKBF_B10640	B	0.9978	pass	eggnog	interpro_domain				IPR013057 Amino acid transporter, transmembrane domain				TRUE
APU25_10810	MRPS5	Small ribosomal subunit protein uS5, N-terminal and Small ribosomal subunit protein uS5, C-terminal domain-containing protein	5	CM128229.1	1154771	1156819	-	5	414	ACKKBF_B10645	B	0.9928	pass	utex250a	interpro_domain_multi				IPR013810 Small ribosomal subunit protein uS5, N-terminal; IPR005324 Small ribosomal subunit protein uS5, C-terminal				TRUE
APU25_10815	EIF1A	Translation initiation factor 1A (eIF-1A)	5	CM128229.1	1157097	1158032	+	5	140	ACKKBG_A10650	tie	0.9857	pass	utex250a	interpro_family								TRUE
APU25_10820	EAF1	SANT/Myb domain-containing protein	5	CM128229.1	1158583	1162482	-	5	897	ACKKBF_B10655	B	1.0000	pass	eggnog	interpro_domain				IPR001005 SANT/Myb domain				TRUE
APU25_10825	ALK2	Aurora kinase-like	5	CM128229.1	1163571	1165651	+	7	357	ACKKBG_A10660	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10830		SANT/Myb domain-containing protein	5	CM128229.1	1165966	1169139	-	5	729	ACKKBF_B10665	B	1.0000	pass	none	interpro_domain				IPR001005 SANT/Myb domain				TRUE
APU25_10835	RPL36	Large ribosomal subunit protein eL36	5	CM128229.1	1169525	1170311	+	3	98	ACKKBG_A10670	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_10840	CGL82	MATH/TRAF domain-containing protein	5	CM128229.1	1170875	1175141	-	7	946	ACKKBF_B10675	B	0.9958	pass	utex250a	interpro_domain				IPR002083 MATH/TRAF domain				TRUE
