locus_tag	source	interpro_accessions	pfam_accessions	ncbifam	prosite	smart	cdd	superfamily	n_domains	interpro_accessions_other_libs
APU25_10940	ips6_local								0	
APU25_10945	matches_api	IPR007268,IPR046938	PF04139					SSF55979	2	
APU25_10950	matches_api	IPR032710						SSF54427	1	
APU25_10955	matches_api	IPR003593,IPR003959,IPR003960,IPR027417,IPR031996,IPR041569	PF00004,PF16725,PF17862		PS00674	SM00382		SSF52540	6	IPR038100,IPR050168
APU25_10960	matches_api	IPR002696	PF01809	TIGR00278		SM01234			3	
APU25_10965	matches_api	IPR032157	PF16093						1	
APU25_10970	ips6_local								0	
APU25_10975	matches_api	IPR041667	PF13621					SSF51197	2	IPR014710
APU25_10980	ips6_local	IPR009011,IPR012913,IPR044865	PF07915		PS51914			SSF50911	3	
APU25_10985	matches_api	IPR023674,IPR028364	PF00687				cd00403	SSF56808	3	IPR016095,IPR050257
APU25_10990	matches_api	IPR000836,IPR005764,IPR029057	PF00156	NF002634,NF002636,TIGR01090			cd06223	SSF53271	6	IPR050120
APU25_10995	ips6_local	IPR040843	PF18755						1	
APU25_11000	ips6_local	IPR002048,IPR011992			PS50222			SSF47473	2	
APU25_11005	matches_api								0	IPR037624
APU25_11010	ips6_local								0	
APU25_11015	ips6_local	IPR013936,IPR037185	PF08627					SSF103481	2	
APU25_11020	matches_api	IPR010251,IPR010940,IPR029063	PF07109	TIGR02021	PS51556		cd02440	SSF53335	5	
APU25_11025	matches_api	IPR004709,IPR006153	PF00999	TIGR00840					2	IPR018422
APU25_11030	matches_api	IPR001216,IPR001926,IPR005856,IPR005859,IPR036052	PF00291	TIGR01136,TIGR01139	PS00901		cd01561	SSF53686	6	IPR050214
APU25_11035	ips6_local	IPR000782,IPR036378	PF02469		PS50213	SM00554		SSF82153	4	
APU25_11040	matches_api	IPR005225,IPR006073,IPR018948,IPR025867,IPR027417,IPR031168	PF01926,PF10396,PF12631	NF003661,TIGR00231	PS51709		cd04164,cd14858	SSF116878,SSF52540	10	IPR004520,IPR027266,IPR027368
APU25_11045	matches_api	IPR001969,IPR021109,IPR032799,IPR032861,IPR033121,IPR034161	PF14541,PF14543		PS00141,PS51257,PS51767		cd05476	SSF50630	7	IPR001461
APU25_11050	matches_api	IPR000225,IPR016024	PF27652			SM00185		SSF48371	3	IPR011989
APU25_11055	ips6_local	IPR022036	PF12239						1	
APU25_11060	ips6_local								0	
APU25_11065	matches_api	IPR000788,IPR005144,IPR008926,IPR013346,IPR013509	PF00317,PF02867,PF03477	TIGR02506	PS00089,PS51161		cd01679	SSF48168,SSF51998	9	IPR039718
APU25_11070	ips6_local	IPR020966	PF11744						1	
APU25_11075	matches_api								0	IPR044224
APU25_11080	matches_api	IPR001915	PF01435				cd07331		2	IPR051156
APU25_11085	matches_api	IPR001305,IPR001623,IPR002939,IPR008971,IPR012724,IPR018253,IPR036410,IPR036869	PF00226,PF00684,PF01556	NF008035,TIGR02349	PS00636,PS50076,PS51188	SM00271	cd06257,cd10719,cd10747	SSF46565,SSF49493,SSF57938	15	
APU25_11090	matches_api	IPR005716,IPR020606,IPR023798,IPR036823	PF00177	NF003106,TIGR01028	PS00052		cd14867	SSF47973	6	IPR000235
APU25_11095	matches_api	IPR000089,IPR003016,IPR011053	PF00364		PS00189,PS50968		cd06849	SSF51230	5	IPR050537
APU25_11100	ips6_local								0	
APU25_11105	ips6_local	IPR003593,IPR004273,IPR013594,IPR013602,IPR024317,IPR024743,IPR027417,IPR035699,IPR035706,IPR041228,IPR041466,IPR041589,IPR041658	PF03028,PF08385,PF08393,PF12774,PF12775,PF12777,PF12780,PF12781,PF17852,PF17857,PF18198,PF18199			SM00382		SSF52540	14	
APU25_11110	matches_api	IPR003256,IPR005824,IPR005825,IPR008991,IPR041988,IPR057264	PF00467,PF17136	TIGR01079	PS01108	SM00739	cd06089	SSF50104	7	IPR014722
APU25_11115	matches_api								0	
APU25_11120	ips6_local								0	
APU25_11125	matches_api	IPR002020,IPR010109,IPR019810,IPR036969	PF00285	NF007128,TIGR01793	PS00480			SSF48256	5	IPR016142,IPR016143
APU25_11130	matches_api	IPR000426,IPR001353,IPR023332,IPR029055,IPR034642	PF00227,PF10584		PS00388,PS51475	SM00948	cd03754	SSF56235	7	
APU25_11135	ips6_local	IPR000717,IPR005062	PF03399		PS50250				2	
APU25_11140	matches_api	IPR000541,IPR011063,IPR020554,IPR032442,IPR056369	PF01171,PF16503	TIGR00269	PS01263		cd01713	SSF52402	6	IPR014729,IPR035107
APU25_11145	ips6_local	IPR063653	PF30943						1	
APU25_11150	ips6_local	IPR001907,IPR023562,IPR029045	PF00574				cd07017	SSF52096	3	
APU25_11155	ips6_local	IPR002194,IPR002423,IPR012715,IPR027409,IPR027410,IPR027413,IPR054827	PF00118	NF041082,NF041083,TIGR02340	PS00750,PS00751,PS00995		cd03335	SSF48592,SSF52029,SSF54849	11	
APU25_11160	ips6_local	IPR006171,IPR007694,IPR027417,IPR034154	PF03796,PF13662		PS51199	SM00493	cd01029	SSF52540,SSF56731	7	
APU25_11165	matches_api	IPR006043	PF00860						1	IPR045018
APU25_11170	ips6_local	IPR003439,IPR003593,IPR013525,IPR013581,IPR027417,IPR034003,IPR043926	PF00005,PF01061,PF08370,PF19055		PS50893	SM00382	cd03232	SSF52540	8	
APU25_11175	ips6_local	IPR006153,IPR018490	PF00999					SSF51206	2	
APU25_11180	matches_api								0	
APU25_11185	matches_api	IPR001349,IPR036418	PF02046					SSF81411	2	
APU25_11190	matches_api	IPR036174,IPR036465						SSF53300,SSF81995,SSF82919	3	IPR029006,IPR050550
APU25_11195	ips6_local	IPR001537,IPR004441,IPR013123,IPR029028,IPR029064,IPR047261	PF00588,PF08032	TIGR00186		SM00967	cd18105	SSF55315,SSF75217	7	
APU25_11200	ips6_local	IPR003495,IPR011629,IPR027417	PF02492,PF07683			SM00833	cd03112	SSF52540,SSF90002	6	
APU25_11205	matches_api	IPR007484	PF04389					SSF53187	2	IPR045175
APU25_11210	ips6_local	IPR006001,IPR027417	PF13671	TIGR01313	PS51257		cd02021	SSF52540	5	
APU25_11215	ips6_local								0	
APU25_11220	matches_api	IPR011701,IPR020846,IPR036259	PF07690		PS50850			SSF103473	3	IPR044770
APU25_11225	ips6_local	IPR001680	PF00400		PS50082	SM00320		SSF82171	4	
APU25_11230	ips6_local	IPR000757,IPR005629,IPR013320	PF03935		PS51762			SSF49899	3	
APU25_11235	matches_api	IPR005629,IPR013320	PF03935					SSF49899	2	
APU25_11240	ips6_local	IPR000757,IPR005629,IPR013320	PF03935		PS51762			SSF49899	3	
APU25_11245	matches_api								0	
APU25_11250	matches_api								0	
APU25_11255	ips6_local								0	
APU25_11260	ips6_local	IPR010420	PF06241						1	
APU25_11265	matches_api	IPR001841,IPR017907,IPR018957	PF00097		PS00518,PS50089	SM00184		SSF57850	5	IPR013083
APU25_11270	matches_api								0	
APU25_11275	ips6_local	IPR032752	PF16455						1	
APU25_11280	matches_api	IPR003593,IPR013765,IPR020587,IPR020588,IPR023400,IPR027417,IPR049261,IPR049428	PF00154,PF21096	TIGR02012	PS50162,PS50163	SM00382	cd00983	SSF52540,SSF54752	9	
APU25_11285	matches_api	IPR019191	PF09811						1	IPR052436
APU25_11290	ips6_local	IPR032710						SSF54427	1	
APU25_11295	matches_api	IPR002347,IPR020904,IPR036291,IPR057326	PF00106		PS00061	SM00822	cd05374	SSF51735	5	
APU25_11300	matches_api	IPR002110,IPR036770,IPR063810	PF12796,PF30945		PS50088,PS50297	SM00248		SSF48403	6	IPR038753
APU25_11305	matches_api								0	
APU25_11310	matches_api								0	
APU25_11315	matches_api	IPR000571,IPR000719,IPR008271,IPR010513,IPR011009,IPR011047,IPR018391,IPR036855	PF00069,PF00642,PF06479		PS00108,PS50011,PS50103,PS51392	SM00220,SM00356,SM00564,SM00580	cd10422	SSF50998,SSF56112,SSF90229	15	IPR015943,IPR038357,IPR045133
APU25_11320	ips6_local	IPR001841,IPR003034,IPR006642,IPR017907,IPR027370	PF13445		PS00518,PS50089,PS50800,PS51908	SM00184,SM00734		SSF57850	8	
APU25_11325	ips6_local	IPR003846	PF02696	NF000658					2	
APU25_11330	matches_api	IPR003807,IPR018966	PF02656,PF09359						2	IPR042267,IPR051572
APU25_11335	matches_api	IPR006145,IPR006224,IPR020103	PF00849		PS01129		cd02869	SSF55120	4	IPR050188
APU25_11340	matches_api	IPR001544,IPR005786,IPR033939,IPR036038	PF01063	NF009897,TIGR01123			cd01557	SSF56752	5	IPR043131,IPR043132
APU25_11345	matches_api	IPR000462,IPR048254	PF01066		PS00379				2	IPR043130,IPR050324
APU25_11350	matches_api	IPR000719,IPR008271,IPR011009,IPR017441	PF00069		PS00107,PS00108,PS50011	SM00220		SSF56112	6	
APU25_11355	ips6_local	IPR036872						SSF47576	1	
APU25_11360	matches_api	IPR002759,IPR038085	PF01900					SSF160350	2	IPR016819
APU25_11365	ips6_local								0	
APU25_11370	ips6_local	IPR000504,IPR035979			PS50102			SSF54928	2	
APU25_11375	ips6_local	IPR004827,IPR046347	PF00170		PS00036,PS50217	SM00338	cd14707	SSF57959	6	
APU25_11380	matches_api	IPR001680,IPR036322	PF00400		PS50082,PS50294	SM00320		SSF50978	5	IPR015943
APU25_11385	matches_api	IPR001199,IPR018506,IPR036400	PF00173		PS00191,PS50255	SM01117		SSF55856	5	IPR050668
APU25_11390	matches_api	IPR003672,IPR011771,IPR022571	PF02514,PF11965	NF009140,TIGR02025			cd10150		5	
APU25_11395	ips6_local	IPR001554,IPR017853,IPR018238	PF01373		PS00506			SSF51445	3	
APU25_11400	ips6_local	IPR001680,IPR011047,IPR022033,IPR036322	PF12234			SM00320		SSF50978,SSF50998	4	
APU25_11405	matches_api								0	
APU25_11410	matches_api	IPR001247,IPR015847,IPR020568,IPR036345	PF01138,PF03725				cd11371	SSF54211,SSF55666	5	IPR027408,IPR050080
APU25_11415	matches_api	IPR001199,IPR036400	PF00173			SM01117		SSF55856	3	IPR050577
APU25_11420	matches_api	IPR002044,IPR002192,IPR013784,IPR054481,IPR063464	PF00686,PF01326,PF22973,PF31155		PS51166	SM01065	cd05467	SSF49452,SSF56059	9	IPR013783,IPR013815
APU25_11425	matches_api	IPR002938,IPR036188	PF01494					SSF51905	2	IPR044560
APU25_11430	matches_api	IPR000892	PF01283						1	IPR038551
APU25_11435	matches_api	IPR002921,IPR029058	PF01764				cd00519	SSF53474	3	IPR051218
APU25_11440	ips6_local	IPR008833	PF05477						1	
APU25_11445	matches_api						cd14279		1	
APU25_11450	matches_api	IPR063519	PF31061						1	
APU25_11455	ips6_local	IPR000719,IPR011009,IPR017441	PF00069		PS00107,PS50011	SM00220		SSF56112	5	
APU25_11460	matches_api	IPR000717,IPR011990,IPR036390,IPR040773	PF01399,PF18055		PS50250	SM00088,SM00753		SSF46785,SSF48452	7	IPR050871
APU25_11465	matches_api	IPR029069					cd03440	SSF54637	2	
APU25_11470	matches_api	IPR004506,IPR046884,IPR046885	PF03054,PF20258,PF20259	NF001138,TIGR00420			cd01998	SSF52402	7	IPR014729,IPR023382,IPR051305
APU25_11475	matches_api	IPR001727,IPR049555	PF01169		PS01214				2	
APU25_11480	ips6_local	IPR001675	PF00777						1	
APU25_11485	matches_api	IPR018108,IPR023395	PF00153		PS50920			SSF103506	3	IPR002067
APU25_11490	matches_api	IPR009651,IPR015424	PF06838					SSF53383	2	IPR015421
APU25_11495	matches_api								0	
APU25_11500	matches_api	IPR001296,IPR011835,IPR013534	PF00534,PF08323	TIGR02095			cd03791	SSF53756	5	
APU25_11505	matches_api	IPR002123,IPR004552	PF01553	TIGR00530		SM00563	cd07989	SSF69593	5	
APU25_11510	ips6_local	IPR002123	PF01553			SM00563	cd07989	SSF69593	4	
APU25_11515	matches_api	IPR018108,IPR023395	PF00153		PS50920			SSF103506	3	IPR050391
APU25_11520	matches_api	IPR015797						SSF55811	1	
APU25_11525	ips6_local	IPR003582,IPR007112,IPR007117,IPR009009,IPR036749,IPR036908	PF01357,PF03330		PS50842,PS50843	SM00254	cd22271	SSF49590,SSF50685	8	
APU25_11530	matches_api	IPR001910,IPR015910,IPR036452	PF01156		PS01247		cd02651	SSF53590	4	IPR023186
APU25_11535	matches_api	IPR000340,IPR000387,IPR020422,IPR029021	PF00782		PS50056	SM00195		SSF52799	4	IPR052832
APU25_11540	ips6_local	IPR001849,IPR002913,IPR009769	PF01852,PF07059		PS50003,PS50848	SM00233	cd00821	SSF50729,SSF55961	8	
APU25_11545	matches_api	IPR000715,IPR033895	PF00953				cd06855		2	
APU25_11550	matches_api	IPR001514,IPR011262,IPR011263,IPR033901,IPR036603,IPR036643	PF01000,PF01193		PS00446	SM00662	cd07032	SSF55257,SSF56553	7	IPR022842
APU25_11555	matches_api	IPR019176	PF09786						1	
APU25_11560	ips6_local								0	
APU25_11565	ips6_local	IPR029058	PF03403					SSF53474	2	
APU25_11570	matches_api								0	
APU25_11575	ips6_local	IPR008979,IPR017853,IPR019801,IPR031330,IPR048912,IPR048913	PF01301,PF21317,PF21467		PS01182			SSF49785,SSF51445	6	
APU25_11580	matches_api	IPR011990		NF047558				SSF48452	2	
APU25_11585	matches_api	IPR000222,IPR001932,IPR036457	PF00481		PS01032,PS51746	SM00332	cd00143	SSF81606	6	IPR015655
APU25_11590	matches_api	IPR000222,IPR001932,IPR036457	PF00481		PS01032,PS51746	SM00332	cd00143	SSF81606	6	IPR015655
APU25_11595	ips6_local	IPR002637,IPR029001	PF01725	TIGR00042			cd00515	SSF52972	4	
APU25_11600	matches_api	IPR002794	PF01940						1	
APU25_11605	ips6_local	IPR004639,IPR005814,IPR015424,IPR049704	PF00202	NF000818,TIGR00713	PS00600		cd00610	SSF53383	6	
APU25_11610	matches_api	IPR016040,IPR036291	PF13460					SSF51735	2	
APU25_11615	ips6_local				PS51257				1	
APU25_11620	matches_api	IPR020630,IPR020631,IPR020867,IPR036291,IPR046346	PF00763,PF02882	NF008058,NF010783	PS00767		cd01080	SSF51735,SSF53223	8	IPR000672
APU25_11625	matches_api	IPR000182,IPR006638,IPR007197,IPR016181,IPR032432,IPR034687,IPR056591,IPR058240	PF00583,PF04055,PF16199,PF23613	TIGR01211	PS51186,PS51918	SM00729	cd01335	SSF102114,SSF55729	11	IPR039661
APU25_11630	ips6_local	IPR009388	PF06298						1	
APU25_11635	ips6_local	IPR006569	PF04818		PS51391	SM00582			3	
APU25_11640	ips6_local								0	
APU25_11645	ips6_local	IPR000727	PF05739		PS50192	SM00397	cd15841	SSF58038	5	
APU25_11650	matches_api	IPR009617	PF06775				cd23995		2	
APU25_11655	matches_api	IPR006876	PF04791						1	IPR051584
APU25_11660	ips6_local	IPR002058,IPR043519,IPR054708	PF03828,PF22600				cd05402	SSF81301,SSF81631	5	
APU25_11665	matches_api								0	
APU25_11670	matches_api								0	
APU25_11675	ips6_local	IPR011990,IPR019734,IPR044059	PF18972		PS50005	SM00028	cd21377	SSF48452	5	
APU25_11680	matches_api	IPR003439,IPR003593,IPR011527,IPR017871,IPR027417	PF00005,PF06472		PS00211,PS50893	SM00382	cd03223	SSF52540	7	IPR050835
APU25_11685	ips6_local	IPR021569,IPR029071	PF11470				cd16105,cd16118	SSF54236	4	
APU25_11690	ips6_local								0	
APU25_11695	ips6_local	IPR001678,IPR029063,IPR048889,IPR049560	PF01189,PF21153		PS51686		cd02440	SSF53335	5	
APU25_11700	ips6_local	IPR001680,IPR019775,IPR036322,IPR055410	PF24105		PS00678,PS50082,PS50294	SM00320		SSF50978	6	
APU25_11705	ips6_local	IPR002130,IPR020892,IPR029000	PF00160		PS00170,PS50072			SSF50891	4	
APU25_11710	ips6_local	IPR007577,IPR029044	PF04488					SSF53448	2	
APU25_11715	matches_api								0	
APU25_11720	matches_api	IPR020526	PF17257						1	
APU25_11725	ips6_local	IPR028265	PF15502						1	
APU25_11730	matches_api								0	
APU25_11735	ips6_local								0	
APU25_11740	ips6_local								0	
APU25_11745	matches_api	IPR001171,IPR018083	PF01222		PS01017,PS01018				3	
APU25_11750	matches_api	IPR015590,IPR016161,IPR029510	PF00171		PS00687			SSF53720	3	IPR016162,IPR016163
APU25_11755	matches_api	IPR009453,IPR036412	PF06437					SSF56784	2	
APU25_11760	matches_api	IPR040781,IPR040858,IPR041358	PF18087,PF18578,PF18579						3	IPR037494
APU25_11765	matches_api	IPR002777	PF01920				cd23163	SSF46579	3	IPR009053,IPR027235
APU25_11770	matches_api	IPR002314,IPR004154,IPR004499,IPR006195,IPR016061,IPR017449,IPR033721,IPR045864	PF00587,PF03129,PF09180	TIGR00408	PS50862	SM00946	cd00778	SSF52954,SSF55681,SSF64586	10	IPR002316,IPR036621
APU25_11775	matches_api	IPR005474,IPR005475,IPR005478,IPR009014,IPR020826,IPR029061,IPR049557,IPR055152	PF00456,PF02779,PF22613	TIGR00232	PS00801,PS00802	SM00861	cd02012,cd07033	SSF52518,SSF52922	11	IPR033247
APU25_11780	matches_api	IPR005843,IPR005844,IPR016055,IPR016066,IPR036900,IPR049022,IPR049023	PF00408,PF02878,PF21404,PF21405		PS00710			SSF53738,SSF55957	7	
APU25_11785	matches_api								0	
APU25_11790	matches_api	IPR014048,IPR036217	PF01035					SSF46767	2	IPR036388,IPR052520
APU25_11795	ips6_local	IPR007529	PF04438		PS51083		cd23024	SSF144232	4	
APU25_11800	ips6_local	IPR029058						SSF53474	1	
APU25_11805	matches_api	IPR001098,IPR002562,IPR012337,IPR043502	PF00476,PF01612			SM00482	cd08640	SSF53098,SSF56672	6	IPR002298,IPR036397
APU25_11810	matches_api	IPR013766,IPR017905,IPR017937,IPR036249,IPR036774	PF00085,PF04777		PS00194,PS51324,PS51352		cd02961	SSF52833,SSF69000	8	IPR039798
APU25_11815	ips6_local	IPR001752,IPR019821,IPR027417	PF00225		PS00411,PS50067	SM00129		SSF52540	5	
APU25_11820	matches_api	IPR007763	PF05071						1	IPR052618
APU25_11825	ips6_local	IPR000061,IPR000626,IPR022030,IPR029071,IPR035563,IPR035967	PF00240,PF01805,PF12230		PS50053,PS50128	SM00213,SM00648	cd01800	SSF109905,SSF54236	10	
APU25_11830	matches_api								0	
APU25_11835	matches_api								0	
APU25_11840	matches_api								0	
APU25_11845	matches_api	IPR000210,IPR011333,IPR029063	PF00651,PF01135		PS50097	SM00225	cd02440,cd14733,cd18186	SSF53335,SSF54695	9	IPR000682
APU25_11850	matches_api	IPR003613,IPR016024	PF04564		PS51698	SM00504		SSF48371,SSF57850	5	IPR011989,IPR013083
APU25_11855	ips6_local	IPR002553,IPR016024	PF01602					SSF48371	2	
APU25_11860	ips6_local	IPR007143,IPR017898,IPR017899,IPR037202,IPR037206	PF03997		PS51310,PS51313			SSF140111,SSF140427	5	
APU25_11865	ips6_local	IPR002591,IPR017850,IPR037675	PF01663				cd16023	SSF53649	3	
APU25_11870	matches_api	IPR004033,IPR023576,IPR029063	PF01209	NF001244,TIGR01934	PS01183,PS51608		cd02440	SSF53335	7	IPR032904
APU25_11875	matches_api	IPR003698,IPR006638,IPR007197,IPR031691,IPR058240	PF04055,PF16881	NF004019,NF009544,TIGR00510	PS51918	SM00729	cd01335	SSF102114	9	IPR013785
APU25_11880	ips6_local	IPR003107,IPR011990,IPR055347	PF08640			SM00386		SSF48452	3	
APU25_11885	ips6_local	IPR002483,IPR036483	PF01480		PS51025	SM00311		SSF101233	4	
APU25_11890	ips6_local	IPR000904,IPR015403,IPR016024,IPR032629,IPR032691,IPR032817,IPR035999,IPR046455	PF01369,PF09324,PF12783,PF16206,PF16213,PF20252		PS50190	SM00222	cd00171	SSF48371,SSF48425	11	
APU25_11895	ips6_local								0	
APU25_11900	matches_api	IPR003903,IPR006085,IPR006086,IPR008918,IPR019974,IPR029060,IPR036279	PF00752,PF00867		PS00842,PS50330	SM00279,SM00484	cd09868,cd09904	SSF47807,SSF88723	10	
APU25_11905	ips6_local	IPR000403,IPR001263,IPR011009,IPR016024,IPR018936,IPR045495	PF00454,PF00613,PF19274		PS00915,PS50290,PS51545	SM00145,SM00146	cd05167	SSF48371,SSF56112	11	
APU25_11910	matches_api	IPR000194,IPR004100,IPR005723,IPR020003,IPR022879,IPR027417,IPR055190	PF00006,PF02874,PF22919	NF003235,TIGR01040	PS00152		cd01135,cd18112,cd18118	SSF52540	10	
APU25_11915	ips6_local	IPR013167,IPR048680,IPR048684	PF08318,PF20662,PF20663			SM00762			4	
APU25_11920	ips6_local	IPR001412,IPR004527,IPR008925,IPR020058,IPR033910,IPR045462	PF00749,PF19269	TIGR00464	PS00178		cd00808	SSF48163,SSF52374	7	
APU25_11925	ips6_local	IPR003593,IPR003959,IPR003960,IPR015342,IPR027417,IPR029067	PF00004,PF09262		PS00674	SM00382		SSF52540,SSF54585	6	
APU25_11930	matches_api	IPR002778,IPR036521	PF01922					SSF69695	2	
APU25_11935	ips6_local	IPR002737	PF01875	TIGR04336			cd07361		3	
APU25_11940	ips6_local	IPR036873						SSF52821	1	
APU25_11945	ips6_local	IPR018564	PF09444						1	
APU25_11950	ips6_local	IPR007262	PF04133						1	
APU25_11955	ips6_local	IPR006843	PF04755						1	
APU25_11960	ips6_local	IPR001494,IPR005043,IPR013713,IPR016024	PF03378,PF03810,PF08506		PS50166	SM00913		SSF48371	6	
APU25_11965	ips6_local	IPR001680,IPR011494,IPR036322,IPR055410	PF07569,PF24105		PS50082,PS50294	SM00320	cd00200	SSF50978	7	
APU25_11970	ips6_local	IPR000257,IPR006361,IPR038071	PF01208	TIGR01464	PS00906,PS00907		cd00717	SSF51726	6	
APU25_11975	ips6_local	IPR007603	PF04515						1	
APU25_11980	matches_api						cd13214	SSF50729	2	IPR044852
APU25_11985	matches_api	IPR005123,IPR013216,IPR027450,IPR029063,IPR035979	PF08241,PF13532		PS51471			SSF51197,SSF53335,SSF54928	6	IPR012677,IPR037151,IPR051422
APU25_11990	ips6_local	IPR004328	PF03097		PS51180	SM01041			3	
APU25_11995	matches_api	IPR021825	PF11891						1	
APU25_12000	matches_api	IPR019191	PF09811						1	IPR038881
APU25_12005	ips6_local	IPR004274,IPR011943,IPR029071,IPR036412	PF03031	TIGR02245	PS50969	SM00577		SSF54236,SSF56784	6	
APU25_12010	ips6_local	IPR000719,IPR001245,IPR008271,IPR011009,IPR017441	PF07714		PS00107,PS00108,PS50011	SM00220		SSF56112	6	
APU25_12015	matches_api	IPR002347,IPR036291	PF13561					SSF51735	2	IPR045000
APU25_12020	ips6_local	IPR000684,IPR000722,IPR006592,IPR007066,IPR007073,IPR007075,IPR007080,IPR007081,IPR007083	PF00623,PF04983,PF04990,PF04992,PF04997,PF04998,PF05000,PF05001	NF006336	PS00115	SM00663	cd02584,cd02733	SSF64484	14	
APU25_12025	matches_api								0	
APU25_12030	matches_api	IPR018607	PF09696						1	
APU25_12035	ips6_local	IPR000634,IPR001926,IPR036052	PF00291		PS00165			SSF53686	3	
APU25_12040	matches_api	IPR007130	PF03982				cd07987	SSF69593	3	
APU25_12045	matches_api	IPR001005,IPR007526,IPR009057,IPR017884,IPR017930,IPR032450,IPR032451,IPR036420,IPR049898	PF00249,PF04433,PF16495,PF16496		PS50090,PS50934,PS51293,PS51294,PS52032	SM00717	cd00027,cd00167	SSF46689,SSF52113	14	IPR036388
APU25_12050	ips6_local	IPR027417						SSF52540	1	
APU25_12055	ips6_local	IPR004910,IPR034751,IPR036280	PF03226		PS51792			SSF48695	3	
APU25_12060	ips6_local								0	
APU25_12065	matches_api	IPR036291						SSF51735	1	
APU25_12070	matches_api	IPR009044,IPR013742	PF08536					SSF54447	2	
APU25_12075	ips6_local	IPR000504,IPR035979	PF00076		PS50102	SM00360	cd12414,cd12416	SSF54928	6	
APU25_12080	ips6_local	IPR000340,IPR000387,IPR001339,IPR012340,IPR013846,IPR016130,IPR029021	PF00782,PF01331,PF03919		PS00383,PS50056		cd07895,cd14502	SSF50249,SSF52799,SSF56091	10	
APU25_12085	ips6_local								0	
APU25_12090	ips6_local	IPR001623,IPR018253,IPR036869,IPR056453	PF00226,PF23302		PS00636,PS50076	SM00271	cd06257	SSF46565	7	
APU25_12095	matches_api	IPR003782,IPR013766,IPR036249	PF02630		PS51352		cd02968	SSF52833	4	
APU25_12100	ips6_local	IPR000571,IPR001841,IPR017907,IPR036855	PF00642,PF14634		PS00518,PS50089,PS50103	SM00184,SM00356	cd16539	SSF57850,SSF90229	10	
APU25_12105	ips6_local	IPR003657,IPR036576	PF03106		PS50811	SM00774		SSF118290	4	
APU25_12110	ips6_local								0	
APU25_12115	matches_api	IPR013252	PF08286						1	
APU25_12120	matches_api	IPR021995	PF12159						1	
APU25_12125	matches_api	IPR000711,IPR026015	PF00213	TIGR01145				SSF47928	3	
APU25_12130	matches_api	IPR019831,IPR019832,IPR019833,IPR036314,IPR036324	PF00081,PF02777		PS00088			SSF46609,SSF54719	5	IPR001189
APU25_12135	matches_api	IPR008560	PF05811						1	
APU25_12140	ips6_local	IPR019367	PF10235						1	
APU25_12145	ips6_local								0	
APU25_12150	ips6_local								0	
APU25_12155	matches_api								0	
APU25_12160	matches_api	IPR003956,IPR003958,IPR009072	PF00808		PS00685		cd22907	SSF47113	4	IPR027113
APU25_12165	ips6_local	IPR004859,IPR041412	PF03159,PF17846				cd18673		3	
APU25_12170	matches_api	IPR053284	PF27724						1	
APU25_12175	matches_api	IPR036412	PF00702					SSF56784	2	IPR023198,IPR023214
APU25_12180	matches_api	IPR003029,IPR011488,IPR012340,IPR024054,IPR024055,IPR044126	PF00575,PF07541		PS50126	SM00316	cd04452	SSF110993,SSF116742,SSF50249	8	
APU25_12185	matches_api	IPR009806	PF07123						1	
APU25_12190	ips6_local	IPR003593,IPR003959,IPR004176,IPR019489,IPR027417,IPR036628,IPR041546	PF00004,PF02861,PF07724,PF10431,PF17871		PS51903	SM00382,SM01086	cd00009,cd19499	SSF52540,SSF81923	12	
APU25_12195	ips6_local	IPR006133,IPR006134,IPR006172,IPR012337,IPR017964,IPR025687,IPR043502,IPR056435,IPR056447	PF00136,PF03104,PF14260,PF24055,PF24065		PS00116	SM00486	cd05534,cd05778	SSF53098,SSF56672	11	
APU25_12200	ips6_local	IPR000313,IPR001214,IPR003340,IPR003616,IPR006560,IPR015300,IPR046341	PF00855,PF00856,PF17907		PS50280,PS50812,PS50868,PS51215	SM00317	cd05162,cd10017	SSF101936,SSF63748,SSF82199	13	
APU25_12205	matches_api	IPR005024	PF03357						1	
APU25_12210	matches_api								0	
APU25_12215	matches_api								0	
APU25_12220	matches_api	IPR003952,IPR003953,IPR011281,IPR014006,IPR015939,IPR027477,IPR036188,IPR037099	PF00890,PF02910	TIGR01812,TIGR01816	PS00504			SSF46977,SSF51905,SSF56425	8	IPR030664
APU25_12225	matches_api	IPR000222,IPR001932,IPR036457	PF00481		PS01032,PS51746	SM00331,SM00332	cd00143	SSF81606	7	IPR015655
APU25_12230	matches_api	IPR013137,IPR013150,IPR013763,IPR023486,IPR036915	PF00382,PF08271		PS00782,PS51134	SM00385	cd20551	SSF47954,SSF57783	8	IPR000812
APU25_12235	matches_api	IPR006575,IPR016135,IPR032378	PF05773,PF16543		PS50908	SM00591	cd23823	SSF54495	6	IPR040213
APU25_12240	matches_api	IPR006760	PF04667						1	
APU25_12245	ips6_local	IPR000719,IPR008271,IPR011009,IPR058783	PF00069,PF26031		PS00108,PS50011	SM00220	cd05579	SSF56112	7	
APU25_12250	ips6_local								0	
APU25_12255	ips6_local	IPR011990,IPR019734				SM00028		SSF48452	2	
APU25_12260	matches_api	IPR007185,IPR040663,IPR041863	PF04042,PF18018				cd07387		3	IPR024826
APU25_12265	ips6_local	IPR006909,IPR006910,IPR036390	PF04824,PF04825					SSF46785	3	
APU25_12270	matches_api	IPR022796	PF00504					SSF103511	2	IPR001344
