locus_tag	symbol	product	chromosome	accession	start	end	strand	exons	protein_len	source_locus	subgenome	identity	QC	eggnog_seed_ortholog	eggnog_evalue	eggnog_score	eggnog_eggNOG_OGs	eggnog_tax_ceiling	eggnog_farthest_donor_lineage	eggnog_COG_category	eggnog_Preferred_name	eggnog_GOs	eggnog_EC	eggnog_KEGG_ko	eggnog_KEGG_Pathway	eggnog_KEGG_Module	eggnog_KEGG_Reaction	eggnog_KEGG_rclass	eggnog_BRITE	eggnog_KEGG_TC	eggnog_CAZy	eggnog_BiGG_Reaction	eggnog_PFAMs	eggnog_annotation_confidence
APU25_10255		hypothetical protein	5	CM128229.1	820294	822820	+	5	573	ACKKBF_B10070	B	0.9965	pass	3075.A0A087SQ97	2.86e-165	485.0	PPR@131567|Fc-11	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71274;91882;4209;4210;102804;911341;102814;4231;4232	COG4783	NFD5	GO:0003674,GO:0003677,GO:0003729,GO:0005739,GO:0006355,GO:0008150,GO:0009507,GO:0009570,GO:0010343,GO:1904821	ec:5.6.2.7	K12823,K17710	03040				00001,01000,03009,03016,03029,03041				PPR_123_152,PPR_190_219,PPR_312_341	lllll---l---h
APU25_10260		hypothetical protein	5	CM128229.1	823248	824280	-	3	252	ACKKBF_B10075	B	1.0000	pass	3075.A0A087SQ98	2.15e-128	369.0	PEMT@2759|H-4	Eukaryota	1;131567;2759;2763;2797;3039357;3039359;83373;130081	S	PEMT	GO:0000773,GO:0001835,GO:0004608,GO:0005515,GO:0005575,GO:0005739,GO:0005740,GO:0005741,GO:0005783,GO:0005789,GO:0005829,GO:0006650,GO:0006656,GO:0006686,GO:0007584,GO:0008150,GO:0008285,GO:0008429,GO:0008654,GO:0008757,GO:0009410,GO:0009507,GO:0031526,GO:0031966,GO:0033273,GO:0042383,GO:0043200,GO:0045471,GO:0046338,GO:0046500,GO:0050747,GO:0070791,GO:0071944,GO:0120162	ec:2.1.1.71	K00550	00564,01100,01110	M00091			00001,01000			MFAPS_SC,PMETM_SC	PEMT_87_173	llhhhh--h--lh
APU25_10265		hypothetical protein	5	CM128229.1	824115	830141	+	14	1064	ACKKBG_A10080	A	0.9832	pass	3075.A0A087SQ99	0.0	1654.0	STAS@2692248|tR-18,STAS@131567|Gk-11!,Sulfate_transp@35461|CUq-22,Sulfate_transp@2692248|Axr-19,Sulfate_transp@131567|C-2!	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720871;5067;1403190	COG0664	SMT15	GO:0000324,GO:0000329,GO:0003674,GO:0005774,GO:0008150,GO:0015174,GO:0034490,GO:0034618		K03321					00001,02000			SO4ti	STAS_594_711,Sulfate_transp_134_528	ll-h----h--lh
APU25_10270	CYCU1	hypothetical protein	5	CM128229.1	830664	831684	-	3	236	ACKKBF_B10085	B	1.0000	pass	3075.A0A087SQA0	3.42e-166	466.0	Cyclin@131567|Cg-12!	Eukaryota	1;131567;2759;2763;2806;2045261;31468;31469;2781;448386	S	LOC101768125												Cyclin_37_150	l-----------h
APU25_10275		hypothetical protein	5	CM128229.1	832179	833815	-	4	409	ACKKBF_B10090	B	1.0000	pass	3075.A0A087SQA1	5.59e-258	710.0	Abhydrolase_6@131567|AKv-26	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3744;3745;171637;721805;3754;3760	COG0596	ABHD4	GO:0009507,GO:0009941,GO:0010189,GO:0016788											Abhydrolase_6_74_314	ll----------h
APU25_10280	SMC3	hypothetical protein	5	CM128229.1	834211	841826	+	24	1215	ACKKBF_B10095	B	0.9992	no_start_Met	3075.A0A087SQA2	0.0	1717.0	SMC_N@131567|b-5,SMC_N@2759|Ag-7,SMC_hinge@131567|W-5,SMC_hinge@2759|r-7	Eukaryota	1;131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;6180;31244;31245;6181;6186	S	smc3	GO:0000785,GO:0003682,GO:0005634,GO:0005737,GO:0005819,GO:0007059,GO:0007062,GO:0008278,GO:0009506,GO:0016363		K06669	04110,04111,04113,04114				00001,00535,03036				SMC_N_11_1046,SMC_hinge_414_529	ll-ll---l---h
APU25_10285		hypothetical protein	5	CM128229.1	842244	842937	-	2	163	ACKKBF_B10100	B	0.9939	no_start_Met	3075.A0A087SQA3	9.35e-107	310.0	Ribosomal_L24e@131567|V-5	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147368;1648038;147389;1648030;4564;4572	COG2075	RLP24	GO:0002181,GO:0003735,GO:0005515,GO:0005634,GO:0005730,GO:0006412,GO:0008150,GO:0022625,GO:0032781,GO:0042273,GO:0071466,GO:1902626		K02896	03010				00001,01610,03011				Ribosomal_L24e_19_82	ll-hh---h---h
APU25_10290		hypothetical protein	5	CM128229.1	843472	844531	-	2	279	ACKKBF_B10105	B	1.0000	pass	3075.A0A087SQA4	9.49e-170	483.0	DUF4504@2759|A-1	Eukaryota	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314145;91561;9845;35500;9895;27592;9903;72004	S	C1orf74	GO:0003674,GO:0005515,GO:0005575,GO:0005634,GO:0005739,GO:0005829,GO:0008150	ec:2.1.1.320	K19737					00001,01000,03036				DUF4504_284_367	llll----l---h
APU25_10295		hypothetical protein	5	CM128229.1	844521	844938	-	2	97	ACKKBF_B10110	B	0.9897	pass	3075.A0A087SQA4	9.68e-19	87.8	DUF4504@2759|A-1	Eukaryota	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314145;91561;9845;35500;9895;27592;9903;72004	S	C1orf74	GO:0003674,GO:0005515,GO:0005575,GO:0005634,GO:0005739,GO:0005829,GO:0008150	ec:2.1.1.320	K19737					00001,01000,03036				DUF4504_284_367	llll----l---h
APU25_10300		hypothetical protein	5	CM128229.1	845177	846067	-	3	209	ACKKBF_B10115	B	0.9952	pass	3075.A0A087SQA4	3.46e-58	196.0	DUF4504@2759|A-1	Eukaryota	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314145;91561;9845;35500;9895;27592;9903;72004	S	C1orf74	GO:0003674,GO:0005515,GO:0005575,GO:0005634,GO:0005739,GO:0005829,GO:0008150	ec:2.1.1.320	K19737					00001,01000,03036				DUF4504_284_367	llll----l---h
APU25_10305		hypothetical protein	5	CM128229.1	846390	850390	+	4	1190	ACKKBF_B10120	B	0.9933	pass	3075.A0A087SQA5	0.0	1408.0	Syja_N@131567|A-1*,Syja_N@2759|n-8	Eukaryota	1;131567;2759;2698737;33630;5794;1280412;5796;75739;423054;5809;5810;5811;398031;432359	S	SAC1	GO:0004438,GO:0005634,GO:0005739,GO:0005794,GO:0007010,GO:0009506,GO:0009826,GO:0009832,GO:0036092,GO:0043812,GO:0043813		K22913	00562,01100				00001				Syja_N_84_390	ll-hh---h---h
APU25_10310		hypothetical protein	5	CM128229.1	850999	853128	-	6	398	ACKKBG_A10125	tie	1.0000	pass	3075.A0A087SQA6	1.7e-201	564.0	DUF155@131567|AE-6,DUF155@75966|Rw-16,DUF155@2692248|Lo-14,DUF155@3041|FV-11	Eukaryota	1;131567;2759;33154;28009;1924738;81529;81525;81824	S	RMD1	GO:0000329,GO:0003674,GO:0005575,GO:0005634,GO:0005737,GO:0005759,GO:0005783,GO:0005816,GO:0007059,GO:0008150,GO:0016020,GO:0031965,GO:0140053											DUF155_56_232	ll----------h
APU25_10315		hypothetical protein	5	CM128229.1	853513	858787	+	8	1376	ACKKBF_B10130	B	0.9949	pass																					
APU25_10320	VTI1A	hypothetical protein	5	CM128229.1	859174	863264	-	14	618	ACKKBF_B10135	B	0.9984	pass	3075.A0A087SQA9	0.0	1270.0	PhoD_N@131567|Bh-9,PhoD@131567|Vt-15	Eukaryota	1;131567;2759;33090;3041;2692248;75966;35460;35461;191392;3075	COG3540													PhoD_119_549,PhoD_N_18_108	------------h
APU25_10325	VTI1B	hypothetical protein	5	CM128229.1	863915	865061	-	4	289	ACKKBF_B10140	B	0.9931	internal_stop,frameshift	3075.A0A087SQB0	1.6e-89	274.0	V-SNARE_C@131567|A-1*,V-SNARE_C@2759|O-4!,V-SNARE@131567|J-4	Eukaryota	1;131567;2759;2611352;5752;2601529;2601530;5765;5761;5762	S	vti1	GO:0000149,GO:0000325,GO:0005483,GO:0005515,GO:0005634,GO:0005739,GO:0005768,GO:0005770,GO:0005773,GO:0005774,GO:0005794,GO:0005802,GO:0005886,GO:0006623,GO:0006891,GO:0006906,GO:0009536,GO:0009630,GO:0009664,GO:0009705,GO:0010008,GO:0030140,GO:0031201,GO:0031901,GO:0051222,GO:0075733,GO:0080147,GO:0080171,GO:1990019		K08493	04130				00001,04131				V-SNARE_19_93,V-SNARE_C_128_170,V-SNARE_C_175_218	ll-hh---h---h
APU25_10330		hypothetical protein	5	CM128229.1	865434	866868	+	6	233	ACKKBF_B10145	B	1.0000	pass	3075.A0A087SQB1	4.81e-31	125.0	Cupin_8@131567|CC-9	Eukaryota	1;131567;2759;33154;4751;112252;6029;6032;27970;27971;31281;481877	COG2850	LOC107818624	GO:0005634,GO:0008150											Cupin_8_124_244	ll----------h
APU25_10335		hypothetical protein	5	CM128229.1	867102	868695	+	4	394	ACKKBF_B10150	B	1.0000	pass	3075.A0A087SQB1	9.67e-213	596.0	Cupin_8@131567|CC-9	Eukaryota	1;131567;2759;33154;4751;112252;6029;6032;27970;27971;31281;481877	COG2850	LOC107818624	GO:0005634,GO:0008150											Cupin_8_124_244	ll----------h
APU25_10340		hypothetical protein	5	CM128229.1	868968	869720	-	2	211	ACKKBF_B10155	B	0.9953	pass	554065.E1Z4R6	2.59e-58	189.0	dCMP_cyt_deam_1@131567|Jm-13	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;72025;3803;3814;2231393;2231382;2233855;163735;3913;3914	COG1985	PYRD	GO:0009231,GO:0009507,GO:0009570	ec:1.1.1.193,ec:3.5.4.26	K11752	00740,01100,01110,01240	M00125			00001,01000				dCMP_cyt_deam_1_30_128	llllll--l---h
APU25_10345		hypothetical protein	5	CM128229.1	871117	873151	+	4	483	ACKKBG_A10160	A	0.9731	pass	3075.A0A087SQB3	4.42e-281	785.0	KH_1@2759|AR-7,KH_1@131567|B-2	Eukaryota	1;131567;2759;33154;4751;451864;5204;5302;155619;452333;68889;227327;227329;37467;178872;765257	COG1094	FUBP1	GO:0003700,GO:0003723,GO:0005515,GO:0005576,GO:0005634,GO:0005737,GO:0006355,GO:1900057,GO:2000028		K13210					00001,03019,03041				KH_1_297_356,KH_1_58_117	ll-l----l---h
APU25_10350	CP12	hypothetical protein	5	CM128229.1	873990	874456	-	2	117	ACKKBF_B10165	B	0.9829	pass	3075.A0A087SQB4	1.4e-73	222.0	CP12@3041|IX-17,CP12@131567|Ak-9	Eukaryota	1;131567;2759;2698737;33634;2696291;2836;33849;33850;38748;38749;2849;2850;556484	COG5761	cp12	GO:0005507,GO:0005515,GO:0009507,GO:0016151,GO:0019899,GO:0032991,GO:0080153											CP12_50_116	ll----------h
APU25_10355	PYG7	hypothetical protein	5	CM128229.1	874698	876025	+	5	266	ACKKBF_B10170	B	1.0000	pass	3075.A0A087SQB5	7.24e-120	350.0	TPR_2@131567|Ss-13,TPR_1@131567|Ma-19	Eukaryota	1;131567;2759;33090;35493;131220;3172;3173;3174;105231	COG5713	PYG7	GO:0005515,GO:0005634,GO:0009507,GO:0009535,GO:0048564											TPR_1_191_222,TPR_2_155_188	ll----------h
APU25_10360		hypothetical protein	5	CM128229.1	876364	884390	-	18	1559	ACKKBF_B10175	B	0.9974	pass	3075.A0A087SU92	0.0	1529.0	UNK.5E06@35461|A-1	Eukaryota	1;131567;2759;33090;3041;2692248;75966;35460;35461;145474;2626013;1291522	S														-------------
APU25_10365		hypothetical protein	5	CM128229.1	885026	886454	+	3	401	ACKKBF_B10180	B	0.9950	pass																					
APU25_10370		hypothetical protein	5	CM128229.1	885902	886483	-	1	193	ACKKBF_B39925	B-only	1.0000	pass																					
APU25_10375		hypothetical protein	5	CM128229.1	886696	888349	+	5	363	ACKKBF_B10185	B	0.9862	pass	3075.V5NED7	3.36e-239	660.0	adh_short@131567|BMu-27!,adh_short@2759|Esd-33!	Eukaryota	1;131567;2759;33090;3041;2692248;75966;35460;35461;191392;3075	S			ec:1.1.1.330,ec:1.1.1.62	K10251	00062,01040,01100,01110,01212	M00415			00001,01000,01004				adh_short_60_253	--hhhh--h---h
APU25_10380		hypothetical protein	5	CM128229.1	888708	893299	-	11	1029	ACKKBF_B10190	B	0.9932	pass	3075.A0A087SU90	0.0	1471.0	MMS19_N@2759|A-1	Eukaryota	1;131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;6180;31244;31245;6181;6188	S	MMS19	GO:0003674,GO:0005634,GO:0005737,GO:0008150,GO:0016226,GO:0030953,GO:0031116,GO:0044572,GO:0045840,GO:0046686,GO:0051604,GO:0140014		K15075					00001,03400				MMS19_N_13_211	ll-h----h---h
APU25_10385	MRPL63	hypothetical protein	5	CM128229.1	893660	893986	+	2	67	ACKKBF_B10195	B	0.9701	no_start_Met	1291522.A0A059LCH6	4.12e-19	80.9	UNK.AYP6@2692248|A-1	Eukaryota	1;131567;2759;33090;3041;2692248;3166;2812636;3042;3051;3052;3055	S														-------------
APU25_10390		hypothetical protein	5	CM128229.1	894514	897769	+	9	632	ACKKBF_B10200	B	0.9937	pass	3075.A0A087SU88	0.0	1052.0	MINDY_DUB@2759|A-1	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147537;4891;3243779;34365;29832;29833	S	MINDY2	GO:0003674,GO:0004843,GO:0005515,GO:0005575,GO:0005634,GO:0005654,GO:0005737,GO:0005783,GO:0005829,GO:0005886,GO:0008150,GO:0016604,GO:0016807,GO:0036435,GO:0070530,GO:0071108,GO:0071444,GO:0071795,GO:0071796,GO:0071944,GO:1990380	ec:3.4.19.12	K01309	00970				00001,01000,04121				MINDY_DUB_37_157	llhhl---h---h
APU25_10395		hypothetical protein	5	CM128229.1	898025	899936	-	4	489	ACKKBF_B10205	B	1.0000	pass	3075.A0A087SU87	1.54e-297	822.0	UNK.AMPH@3041|A-1	Eukaryota	1;131567;2759;33090;3041;1035538;13792;41873;38832;38833;564608	S														-------------
APU25_10400		hypothetical protein	5	CM128229.1	900447	901450	-	4	184	ACKKBF_B10210	B	1.0000	pass	3075.A0A087SU87	1.97e-100	308.0	UNK.AMPH@3041|A-1	Eukaryota	1;131567;2759;33090;3041;1035538;13792;41873;38832;38833;564608	S														-------------
APU25_10405		hypothetical protein	5	CM128229.1	901769	902416	+	2	167	ACKKBG_A10215	tie	1.0000	pass	3075.A0A087SU86	3.24e-94	277.0	SPOUT_MTase@131567|A-1	Eukaryota	1;131567;2759;33090;3041;1035538;13792;1525212;41874;41875	COG1576	LOC102716680	GO:0003674,GO:0009507	ec:2.1.1.177	K00783					00001,01000,03009				SPOUT_MTase_2_136	llhh----h---h
APU25_10410		hypothetical protein	5	CM128229.1	902724	903200	-	2	114	ACKKBF_B10220	B	0.9825	pass	554055.A0A2P6V461	1.46e-13	70.9	UNK.HNMR@131567|A-1*,UNK.HNMR@3041|C-2	Eukaryota	1;131567;2759;33090;3041;1035538;13792;41873;38832;38833;564608	S														-------------
APU25_10415	CMP2	hypothetical protein	5	CM128229.1	903465	906202	-	5	530	ACKKBG_A10225	A	0.9811	pass	1291522.A0A059LRL7	3.96e-205	584.0	GATase@131567|J-4,CPSase_sm_chain@131567|A-1	Eukaryota	1;131567;2759;33090;35493;131221;304574;204509;3146;13778;69332	COG0505	PYR1S	GO:0004088,GO:0004359,GO:0005951,GO:0009507,GO:0009570,GO:0016036	ec:6.3.5.5	K01956	00220,00240,00250,01100,01110,01240	M00051,M00978			00001,01000				CPSase_sm_chain_52_177,GATase_242_416	llhhhh--h---h
APU25_10420	DLA1	hypothetical protein	5	CM128229.1	906711	909117	+	3	635	ACKKBF_B10230	B	0.9969	pass	3075.A0A087SU84	0.0	894.0	Biotin_lipoyl@2759|HVM-28,Biotin_lipoyl@131567|BZM-20,E3_binding@2759|Cox-36,E3_binding@131567|Ss-20,2-oxoacid_dh@2759|AOU-25,2-oxoacid_dh@131567|Dk-13	Eukaryota	1;131567;2759;2698737;33634;2683628;2683629;42740;2547934;12967;12968;478820	COG0508	P0644B06.24-2	GO:0005507,GO:0005634,GO:0005739,GO:0005829,GO:0006086,GO:0006099,GO:0009060,GO:0009583,GO:0009941,GO:0042867,GO:0050908	ec:2.3.1.12	K00627	00010,00020,00620,00785,01100,01110,01200,01210	M00307			00001,01000,01601			PDHm	2-oxoacid_dh_491_528,Biotin_lipoyl_130_202,Biotin_lipoyl_3_64,E3_binding_269_304	llhhhh--h--lh
APU25_10425	CGL118	hypothetical protein	5	CM128229.1	909443	910874	+	4	359	ACKKBF_B10235	B	1.0000	pass	3075.A0A087SU82	1.25e-257	707.0	GHMP_kinases_N@131567|M-4	Eukaryota	1;131567;2759;33090;3041;2692248;75966;35460;35461;145474;2626013;1291522	COG2605			ec:2.7.1.43	K16190	00040,00053,00520,01100,01250	M00014			00001,01000				GHMP_kinases_N_111_178	--hhhh--h---h
APU25_10430		hypothetical protein	5	CM128229.1	911005	912759	-	6	387	ACKKBF_B10240	B	0.9871	pass	3075.A0A087SU81	3.6e-131	387.0	WD40@131567|Uz-14,WD40@2759|BGq-20	Eukaryota	1;131567;2759;33154;4751;451864;5204;5302;155619;452333;68889;227332;48595;5375;80600;1314800	S	CIA1	GO:0002098,GO:0003674,GO:0003700,GO:0005515,GO:0005575,GO:0005634,GO:0005737,GO:0005829,GO:0006357,GO:0008150,GO:0016226,GO:0044572,GO:0051604,GO:0071817,GO:0097361,GO:0140132		K24730	03008,03082,03083				00001,04990				WD40_101_133,WD40_143_168,WD40_177_201,WD40_222_257,WD40_289_319,WD40_53_89,WD40_6_41	ll-hl---h---h
APU25_10435		hypothetical protein	5	CM128229.1	912976	915028	+	3	599	ACKKBF_B10245	B	0.9753	pass	3075.A0A087SU80	4.64e-90	287.0	RRM_1@131567|KD-15,RRM_1@2759|PC-17!	Eukaryota	1;131567;2759;2698737;33630;5878;431838;6020;33825;340080;5884;5888	S	RBM12B	GO:0000122,GO:0000381,GO:0000398,GO:0000932,GO:0003674,GO:0003677,GO:0003723,GO:0003729,GO:0003730,GO:0005515,GO:0005575,GO:0005628,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005739,GO:0005829,GO:0006338,GO:0006396,GO:0008150,GO:0008266,GO:0009507,GO:0009536,GO:0010494,GO:0010608,GO:0016281,GO:0031981,GO:0034063,GO:0060090,GO:0061158,GO:0097014,GO:1990394		K03248,K03258,K12837,K12840,K12891,K12898,K13167,K13218,K14328,K14407,K14573,K14789,K14948,K18763,K24086,K24524,K24526,K24983,K25083	03008,03013,03015,03040,04150				00001,03009,03012,03019,03021,03041,04990				RRM_1_7_62	ll-ll---l---h
APU25_10440		hypothetical protein	5	CM128229.1	915359	918861	-	10	583	ACKKBF_B10250	B	1.0000	pass	3075.A0A087SU79	0.0	1139.0	Dynamin_N@2759|AS-7,Dynamin_N@131567|B-2,EF-hand_4@131567|A-1*,EF-hand_4@2759|BQ-9,EHD_N@131567|A-1*,EHD_N@2759|C-2,DUF5600@2759|A-1	Eukaryota	1;131567;2759;33154;4751;451864;5204;5302;155619;355688;5303;396331;82309;82310;745531	S	EHD1	GO:0005515,GO:0005634,GO:0005737,GO:0005768,GO:0005886,GO:0006897,GO:0009506,GO:0010008,GO:0016020,GO:0032456,GO:0032956,GO:0042538,GO:0051260	ec:2.3.1.23,ec:2.3.1.67	K12483	04144				00001,04131,04147				DUF5600_474_522,DUF5600_544_590,Dynamin_N_239_398,EF-hand_4_27_88,EHD_N_202_234	lllhh---h---h
APU25_10445	COX19	hypothetical protein	5	CM128229.1	919410	919998	+	3	130	ACKKBF_B10255	B	0.9846	frameshift	3076.A0A2P6TW18	1.3e-18	83.6	CHCH@131567|A-1*,CHCH@2759|CD-10	Eukaryota	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;28568;5094;2752537;37727;441960	S	LOC107821659	GO:0003674,GO:0005575,GO:0005737,GO:0005739,GO:0005758,GO:0005829,GO:0006878,GO:0008150,GO:0033617,GO:0051604		K18183	04714				00001,03029				CHCH_31_64	ll-ml---m---h
APU25_10450		hypothetical protein	5	CM128229.1	920334	923002	+	7	499	ACKKBF_B10265	B	0.9980	pass	3075.A0A087SU76	1.26e-287	791.0	UNK.4MYG@2692248|A-1	Eukaryota	1;131567;2759;33090;3041;2692248;3166;2812636;3042;3065;3066;3067;3068	S														-------------
APU25_10455		hypothetical protein	5	CM128229.1	923375	924897	-	4	328	ACKKBF_B10270	B	0.9939	pass	3075.A0A087SU75	7.55e-216	599.0	UNK.NWS7@75966|A-1	Eukaryota	1;131567;2759;33090;3041;2692248;75966;75981;35472;41891;248742;574566	S														-------------
APU25_10460		hypothetical protein	5	CM128229.1	925288	927207	-	7	311	ACKKBF_B10275	B	1.0000	pass	3075.A0A087SU74	5.7e-201	560.0	Steroid_dh@131567|O-4	Eukaryota	1;131567;2759;33154;4751;112252;4761;2683659;451435;34478;34479;4815;109760;645134		ECR	GO:0005515,GO:0005783,GO:0005789,GO:0005829,GO:0006665,GO:0009922,GO:0009923,GO:0010025,GO:0010091,GO:0160062,GO:1905499	ec:1.3.1.93	K10258	00062,01040,01100,01110,01212	M00415			00001,01000,01004			FAS240_L,FAS260	Steroid_dh_155_303	llhhhh--h--lh
APU25_10465	TSQ1	hypothetical protein	5	CM128229.1	927542	932105	+	13	796	ACKKBF_B10280	B	1.0000	pass	3075.A0A087SU72	0.0	1479.0	tRNA_synt_1c_R2@2759|A-1,tRNA-synt_1c_C@131567|C-2,tRNA-synt_1c@131567|Ct-11,tRNA_synt_1c_R1@2759|A-1	Eukaryota	1;131567;2759;33154;33208;6072;33213;33317;1206794;6231;119088;1457286;6329;6332;6333;990121	S	OVA9	GO:0004819,GO:0005634,GO:0005737,GO:0005829,GO:0006412,GO:0006424,GO:0048481	ec:6.1.1.18	K01886	00970,01100				00001,01000,01007,01613,03016			GLNTRS	tRNA-synt_1c_261_282,tRNA-synt_1c_284_529,tRNA-synt_1c_C_545_734,tRNA_synt_1c_R1_14_173,tRNA_synt_1c_R2_178_216	llhhh---h--lh
APU25_10470	CYCB1	hypothetical protein	5	CM128229.1	932655	934911	+	7	502	ACKKBF_B10290	B	0.9980	pass	3075.A0A087SU71	3.08e-284	784.0	Cyclin_C@2692248|BkO-27,Cyclin_C@2759|Nh-14,Cyclin_C@131567|HJ-12,Cyclin_C@33090|Adh-22,Cyclin_N@2759|mM-18,Cyclin_N@131567|CM-9	Eukaryota	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;1489388;41705;8006;8015;504568;8028;8030	S	cycb1	GO:0001558,GO:0005515,GO:0005634,GO:0005737,GO:0010332		K21777	04011,04068,04110,04111,04113,04114,04115,04218,04914,05166,05170				00001,03032,03036				Cyclin_C_307_425,Cyclin_N_179_304	ll-hl---h---h
APU25_10475		hypothetical protein	5	CM128229.1	935672	936861	-	3	311	ACKKBF_B10295	B	0.9871	internal_stop	3075.A0A087SU70	7.13e-96	293.0	TatD_DNase@131567|T-5	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3744;3745;171637;721805;3754;3759;2094558	COG0084	H0404F02.5			K03424					00001				TatD_DNase_9_279	l--h----h---h
APU25_10480		hypothetical protein	5	CM128229.1	937641	941280	+	13	576	ACKKBG_A10300	tie	1.0000	pass	3075.A0A087SU69	0.0	1037.0	Trypsin_2@2692248|MZP-46,Trypsin_2@33090|KVh-43,Trypsin_2@131567|uS-20!,PDZ_3@2759|FK-10,PDZ_3@131567|C-2,PDZ_3@2692248|My-17,PDZ_3@3041|MS-16	Eukaryota	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903	S	DEGP9	GO:0004252,GO:0005515,GO:0005634,GO:0005730,GO:0005829,GO:0008236,GO:0009507,GO:0009533,GO:0009535,GO:0009570,GO:0009658,GO:0009941,GO:0010206,GO:0030163		K25897					00001,01002				PDZ_3_382_527,Trypsin_2_76_234	ll-h----h---h
APU25_10485	CLPR4	hypothetical protein	5	CM128229.1	941563	943140	+	6	262	ACKKBF_B10305	B	1.0000	pass	3075.A0A087SU68	7.41e-169	476.0	CLP_protease@33090|rR-21,CLP_protease@131567|Em-11!	Eukaryota	1;131567;2759;33090;3041;2692248;3166;2812636;3042;3051;3052;3055	COG0740	CLPR4	GO:0000302,GO:0005829,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0010468	ec:3.4.21.92	K01358					00001,01000,01002				CLP_protease_103_283	llhh----h---h
APU25_10490		hypothetical protein	5	CM128229.1	943395	944478	-	3	219	ACKKBG_A10310	tie	1.0000	pass	3075.A0A087SU67	2.66e-112	326.0	UNK.CPZV@3041|A-1	Eukaryota	1;131567;2759;33090;3041;1035538;13792;1525212;41874;41875	S														-------------
APU25_10495		hypothetical protein	5	CM128229.1	944809	947534	-	6	619	ACKKBF_B10315	B	1.0000	pass	3075.A0A087SU66	0.0	1182.0	PK_C@131567|A-1,PK@131567|A-1	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147368;2822797;147385;15367;15368	COG0469	PKP2	GO:0000287,GO:0004743,GO:0005739,GO:0006629,GO:0006633,GO:0009507,GO:0009570,GO:0010431,GO:0030955,GO:0048316	ec:2.7.1.40	K00873	00010,00620,01100,01110,01200,01230	M00001,M00002			00001,01000,04131,04147				PK_224_564,PK_C_602_696	llhhhh--h---h
APU25_10500		hypothetical protein	5	CM128229.1	948182	949635	-	6	249	ACKKBF_B39930	B-only	0.9799	pass	3075.A0A087SU66	1.2e-43	165.0	PK_C@131567|A-1,PK@131567|A-1	Eukaryota	1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147368;2822797;147385;15367;15368	COG0469	PKP2	GO:0000287,GO:0004743,GO:0005739,GO:0006629,GO:0006633,GO:0009507,GO:0009570,GO:0010431,GO:0030955,GO:0048316	ec:2.7.1.40	K00873	00010,00620,01100,01110,01200,01230	M00001,M00002			00001,01000,04131,04147				PK_224_564,PK_C_602_696	llhhhh--h---h
